Average Domestic Airline Itinerary Fares By Origin City for Q1 2023 Ranked by Total Number of Domestic Passengers in 2022,,,,,,,,,,,,,,,,,,
2022 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Quarter:  Q1-2023),2022 Passengers (10% sample),,,,,,,,,,,
1,LAX,Los Angeles International,Los Angeles,CA,389.46,389.46," 1,204,082 ",,,,,,,,,,,
2,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,394.33,394.33," 998,248 ",,,,,,,,,,,
3,DEN,Denver International,Denver,CO,336.93,336.93," 990,155 ",,,,,,,,,,,
4,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,406.23,406.23," 951,353 ",,,,,,,,,,,
5,EWR,Newark Liberty International,Newark,NJ,400.49,400.49," 844,385 ",,,,,,,,,,,
6,BOS,Logan International,Boston,MA,382.11,382.11," 832,670 ",,,,,,,,,,,
7,SEA,Seattle/Tacoma International,Seattle,WA,378.83,378.83," 815,080 ",,,,,,,,,,,
8,MCO,Orlando International,Orlando,FL,274.08,274.08," 809,938 ",,,,,,,,,,,
9,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,430.12,430.12," 781,899 ",,,,,,,,,,,
10,PHX,Phoenix Sky Harbor International,Phoenix,AZ,365.34,365.34," 753,870 ",,,,,,,,,,,
11,SFO,San Francisco International,San Francisco,CA,422.84,422.84," 745,559 ",,,,,,,,,,,
12,JFK,John F. Kennedy International,New York-JFK,NY,424.33,424.33," 692,687 ",,,,,,,,,,,
13,LAS,Harry Reid International,Las Vegas,NV,269.92,269.92," 687,806 ",,,,,,,,,,,
14,LGA,LaGuardia,New York-La Guardia,NY,325.76,325.76," 672,207 ",,,,,,,,,,,
15,MSP,Minneapolis-St Paul International,Minneapolis,MN,455.65,455.65," 592,925 ",,,,,,,,,,,
16,PHL,Philadelphia International,Philadelphia,PA,406.34,406.34," 553,118 ",,,,,,,,,,,
17,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,402.55,402.55," 551,714 ",,,,,,,,,,,
18,SAN,San Diego International,San Diego,CA,359.08,359.08," 530,752 ",,,,,,,,,,,
