Average Domestic Airline Itinerary Fares By Origin City for Q1 2018 Ranked by Total Number of Domestic Passengers in 2022,,,,,,,,,,,,,,,,,,
2022 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Quarter:  Q1-2023),2022 Passengers (10% sample),,,,,,,,,,,
1,LAX,Los Angeles International,Los Angeles,CA,336.93,407.10," 1,204,082 ",,,,,,,,,,,
2,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,341.14,412.18," 998,248 ",,,,,,,,,,,
3,DEN,Denver International,Denver,CO,299.04,361.31," 990,155 ",,,,,,,,,,,
4,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,361.16,436.37," 951,353 ",,,,,,,,,,,
5,EWR,Newark Liberty International,Newark,NJ,407.59,492.47," 844,385 ",,,,,,,,,,,
6,BOS,Logan International,Boston,MA,323.31,390.64," 832,670 ",,,,,,,,,,,
7,SEA,Seattle/Tacoma International,Seattle,WA,331.84,400.94," 815,080 ",,,,,,,,,,,
8,MCO,Orlando International,Orlando,FL,246.68,298.05," 809,938 ",,,,,,,,,,,
9,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,381.16,460.53," 781,899 ",,,,,,,,,,,
10,PHX,Phoenix Sky Harbor International,Phoenix,AZ,320.87,387.68," 753,870 ",,,,,,,,,,,
11,SFO,San Francisco International,San Francisco,CA,365.00,441.01," 745,559 ",,,,,,,,,,,
12,JFK,John F. Kennedy International,New York-JFK,NY,397.54,480.32," 692,687 ",,,,,,,,,,,
13,LAS,Harry Reid International,Las Vegas,NV,242.41,292.89," 687,806 ",,,,,,,,,,,
14,LGA,LaGuardia,New York-La Guardia,NY,320.45,387.19," 672,207 ",,,,,,,,,,,
15,MSP,Minneapolis-St Paul International,Minneapolis,MN,389.79,470.96," 592,925 ",,,,,,,,,,,
16,PHL,Philadelphia International,Philadelphia,PA,378.62,457.46," 553,118 ",,,,,,,,,,,
