Average Domestic Airline Itinerary Fares By Origin City for Q1 2010 Ranked by Total Number of Domestic Passengers in 2022,,,,,,,,,,,,,,,,,,
2022 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Quarter:  Q1-2023),2022 Passengers (10% sample),,,,,,,,,,,
1,LAX,Los Angeles International,Los Angeles,CA,346.32,479.72," 1,204,082 ",,,,,,,,,,,
2,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,348.02,482.07," 998,248 ",,,,,,,,,,,
3,DEN,Denver International,Denver,CO,290.52,402.43," 990,155 ",,,,,,,,,,,
4,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,355.65,492.65," 951,353 ",,,,,,,,,,,
5,EWR,Newark Liberty International,Newark,NJ,422.87,585.76," 844,385 ",,,,,,,,,,,
6,BOS,Logan International,Boston,MA,331.71,459.49," 832,670 ",,,,,,,,,,,
7,SEA,Seattle/Tacoma International,Seattle,WA,327.64,453.84," 815,080 ",,,,,,,,,,,
8,MCO,Orlando International,Orlando,FL,245.02,339.40," 809,938 ",,,,,,,,,,,
9,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,404.36,560.12," 781,899 ",,,,,,,,,,,
10,PHX,Phoenix Sky Harbor International,Phoenix,AZ,297.05,411.48," 753,870 ",,,,,,,,,,,
11,SFO,San Francisco International,San Francisco,CA,338.85,469.37," 745,559 ",,,,,,,,,,,
12,JFK,John F. Kennedy International,New York-JFK,NY,343.94,476.43," 692,687 ",,,,,,,,,,,
13,LAS,Harry Reid International,Las Vegas,NV,251.32,348.13," 687,806 ",,,,,,,,,,,
14,LGA,LaGuardia,New York-La Guardia,NY,318.09,440.61," 672,207 ",,,,,,,,,,,
15,MSP,Minneapolis-St Paul International,Minneapolis,MN,379.23,525.30," 592,925 ",,,,,,,,,,,
16,PHL,Philadelphia International,Philadelphia,PA,337.15,467.02," 553,118 ",,,,,,,,,,,
17,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,416.31,576.67," 551,714 ",,,,,,,,,,,
18,SAN,San Diego International,San Diego,CA,301.78,418.02," 530,752 ",,,,,,,,,,,
19,DTW,Detroit Metro Wayne County,Detroit,MI,348.60,482.88," 526,777 ",,,,,,,,,,,
20,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,250.08,346.41," 524,862 ",,,,,,,,,,,
21,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,372.51,516.00," 488,036 ",,,,,,,,,,,
22,TPA,Tampa International,Tampa,FL,282.38,391.15," 480,514 ",,,,,,,,,,,
23,MIA,Miami International,Miami,FL,344.50,477.20," 478,823 ",,,,,,,,,,,
24,AUS,Austin - Bergstrom International,Austin,TX,326.92,452.85," 453,572 ",,,,,,,,,,,
25,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,277.35,384.18," 442,456 ",,,,,,,,,,,
26,PDX,Portland International,Portland,OR,333.82,462.41," 400,840 ",,,,,,,,,,,
27,SLC,Salt Lake City International,Salt Lake City,UT,338.83,469.35," 400,695 ",,,,,,,,,,,
28,BNA,Nashville International,Nashville,TN,325.89,451.42," 387,230 ",,,,,,,,,,,
29,CLT,Charlotte Douglas International,Charlotte,NC,370.04,512.57," 372,212 ",,,,,,,,,,,
30,SMF,Sacramento International,Sacramento,CA,288.08,399.04," 339,569 ",,,,,,,,,,,
31,RDU,Raleigh-Durham International,Raleigh/Durham,NC,293.14,406.06," 327,718 ",,,,,,,,,,,
32,MDW,Chicago Midway International,Chicago-Midway,IL,267.12,370.01," 320,449 ",,,,,,,,,,,
33,HNL,Daniel K Inouye International,Honolulu,HI,290.02,401.74," 312,069 ",,,,,,,,,,,
34,STL,St Louis Lambert International,St. Louis,MO,306.12,424.04," 290,937 ",,,,,,,,,,,
35,SJC,Norman Y. Mineta San Jose International,San Jose,CA,264.40,366.24," 284,602 ",,,,,,,,,,,
36,OAK,Metro Oakland International,Oakland,CA,251.17,347.92," 272,223 ",,,,,,,,,,,
37,DAL,Dallas Love Field,Dallas-Love Field,TX,248.49,344.21," 268,490 ",,,,,,,,,,,
38,SNA,John Wayne Airport-Orange County,Santa Ana,CA,293.64,406.75," 265,267 ",,,,,,,,,,,
39,MCI,Kansas City International,Kansas City,MO,299.97,415.52," 262,674 ",,,,,,,,,,,
40,MSY,Louis Armstrong New Orleans International,New Orleans,LA,310.58,430.21," 258,635 ",,,,,,,,,,,
41,CLE,Cleveland-Hopkins International,Cleveland,OH,370.65,513.43," 256,332 ",,,,,,,,,,,
42,IAD,Washington Dulles International,Washington-Dulles,DC,413.62,572.95," 253,348 ",,,,,,,,,,,
43,IND,Indianapolis International,Indianapolis,IN,298.86,413.98," 251,793 ",,,,,,,,,,,
44,SJU,Luis Munoz Marin International,San Juan,PR,273.87,379.37," 243,172 ",,,,,,,,,,,
45,SAT,San Antonio International,San Antonio,TX,315.24,436.66," 241,700 ",,,,,,,,,,,
46,PIT,Pittsburgh International,Pittsburgh,PA,300.52,416.29," 233,411 ",,,,,,,,,,,
47,CVG,Cincinnati/Northern Kentucky International,Cincinnati,OH,404.29,560.02," 228,128 ",,,,,,,,,,,
48,CMH,John Glenn Columbus International,Columbus,OH,299.05,414.25," 213,465 ",,,,,,,,,,,
49,HOU,William P Hobby,Houston-Hobby,TX,274.64,380.43," 207,837 ",,,,,,,,,,,
50,RSW,Southwest Florida International,Fort Myers,FL,262.78,364.00," 200,474 ",,,,,,,,,,,
51,BDL,Bradley International,Hartford,CT,372.89,516.53," 183,949 ",,,,,,,,,,,
52,ONT,Ontario International,Ontario,CA,277.81,384.82," 170,319 ",,,,,,,,,,,
53,JAX,Jacksonville International,Jacksonville,FL,302.91,419.59," 169,662 ",,,,,,,,,,,
54,MKE,General Mitchell International,Milwaukee,WI,250.47,346.95," 164,464 ",,,,,,,,,,,
55,BUR,Bob Hope,Burbank,CA,241.01,333.85," 160,987 ",,,,,,,,,,,
56,PBI,Palm Beach International,West Palm Beach/Palm Beach,FL,281.91,390.50," 157,443 ",,,,,,,,,,,
57,OMA,Eppley Airfield,Omaha,NE,325.01,450.20," 128,152 ",,,,,,,,,,,
58,MEM,Memphis International,Memphis,TN,432.71,599.38," 124,614 ",,,,,,,,,,,
59,RIC,Richmond International,Richmond,VA,326.35,452.06," 124,059 ",,,,,,,,,,,
60,BOI,Boise Air Terminal,Boise,ID,316.02,437.75," 123,162 ",,,,,,,,,,,
61,CHS,Charleston AFB/International,Charleston,SC,443.45,614.27," 122,207 ",,,,,,,,,,,
62,BUF,Buffalo Niagara International,Buffalo,NY,271.42,375.97," 121,735 ",,,,,,,,,,,
63,ORF,Norfolk International,Norfolk,VA,351.42,486.79," 117,993 ",,,,,,,,,,,
64,ABQ,Albuquerque International Sunport,Albuquerque,NM,305.92,423.76," 117,060 ",,,,,,,,,,,
65,OGG,Kahului Airport,Kahului,HI,222.86,308.71," 113,378 ",,,,,,,,,,,
66,ELP,El Paso International,El Paso,TX,314.31,435.38," 113,101 ",,,,,,,,,,,
67,GRR,Gerald R. Ford International,Grand Rapids,MI,405.69,561.96," 108,941 ",,,,,,,,,,,
68,OKC,Will Rogers World,Oklahoma City,OK,351.67,487.13," 107,989 ",,,,,,,,,,,
69,SDF,Louisville Muhammad Ali International,Louisville,KY,341.23,472.68," 106,632 ",,,,,,,,,,,
70,ANC,Ted Stevens Anchorage International,Anchorage,AK,592.44,820.65," 105,666 ",,,,,,,,,,,
71,GEG,Spokane International,Spokane,WA,305.90,423.73," 104,809 ",,,,,,,,,,,
72,RNO,Reno/Tahoe International,Reno,NV,287.66,398.47," 100,069 ",,,,,,,,,,,
73,PVD,Rhode Island Tf Green International,Providence,RI,322.79,447.13," 96,518 ",,,,,,,,,,,
74,TUS,Tucson International,Tucson,AZ,320.07,443.36," 90,011 ",,,,,,,,,,,
75,DSM,Des Moines International,Des Moines,IA,387.79,537.17," 86,426 ",,,,,,,,,,,
76,LGB,Long Beach Airport,Long Beach,CA,208.33,288.58," 85,454 ",,,,,,,,,,,
77,TUL,Tulsa International,Tulsa,OK,345.96,479.23," 80,986 ",,,,,,,,,,,
78,SYR,Syracuse Hancock International,Syracuse,NY,355.03,491.79," 79,344 ",,,,,,,,,,,
79,SRQ,Sarasota/Bradenton International,Sarasota/Bradenton,FL,281.73,390.25," 78,452 ",,,,,,,,,,,
80,ALB,Albany International,Albany,NY,361.35,500.55," 78,345 ",,,,,,,,,,,
81,BHM,Birmingham-Shuttlesworth International,Birmingham,AL,354.43,490.96," 75,675 ",,,,,,,,,,,
82,SAV,Savannah/Hilton Head International,Savannah,GA,435.27,602.94," 74,039 ",,,,,,,,,,,
83,ROC,Frederick Douglass Grtr Rochester International,Rochester,NY,292.57,405.27," 72,280 ",,,,,,,,,,,
84,KOA,Ellison Onizuka Kona International at Keahole,Kona,HI,231.97,321.33," 67,891 ",,,,,,,,,,,
85,TYS,McGhee Tyson,Knoxville,TN,440.85,610.67," 64,333 ",,,,,,,,,,,
86,MYR,Myrtle Beach International,Myrtle Beach,SC,284.42,393.98," 62,925 ",,,,,,,,,,,
87,PNS,Pensacola International,Pensacola,FL,387.79,537.16," 60,511 ",,,,,,,,,,,
88,GSP,Greenville-Spartanburg International,Greer,SC,437.38,605.86," 59,223 ",,,,,,,,,,,
89,COS,City of Colorado Springs Municipal,Colorado Springs,CO,378.06,523.69," 58,992 ",,,,,,,,,,,
90,HPN,Westchester County,White Plains,NY,291.07,403.18," 58,461 ",,,,,,,,,,,
91,LIH,Lihue Airport,Lihue,HI,190.92,264.46," 58,367 ",,,,,,,,,,,
92,FAT,Fresno Yosemite International,Fresno,CA,380.95,527.69," 57,786 ",,,,,,,,,,,
93,LIT,Bill and Hillary Clinton Nat Adams Field,Little Rock,AR,341.94,473.66," 56,757 ",,,,,,,,,,,
94,MSN,Dane County Regional-Truax Field,Madison,WI,365.19,505.86," 55,194 ",,,,,,,,,,,
95,PWM,Portland International Jetport,Portland,ME,331.33,458.96," 54,716 ",,,,,,,,,,,
96,PSP,Palm Springs International,Palm Springs,CA,376.66,521.75," 52,936 ",,,,,,,,,,,
97,BZN,Bozeman Yellowstone International,Bozeman,MT,447.40,619.74," 50,546 ",,,,,,,,,,,
98,SFB,Orlando Sanford International,Sanford,FL,128.94,178.61," 47,740 ",,,,,,,,,,,
99,PIE,St Pete Clearwater International,St. Petersburg,FL,120.13,166.40," 47,279 ",,,,,,,,,,,
100,AVL,Asheville Regional,Asheville,NC,369.69,512.09," 46,964 ",,,,,,,,,,,
101,XNA,Northwest Arkansas National,Fayetteville,AR,464.09,642.86," 45,953 ",,,,,,,,,,,
102,EUG,Mahlon Sweet Field,Eugene,OR,365.63,506.47," 45,553 ",,,,,,,,,,,
103,ICT,Wichita Dwight D Eisenhower National,Wichita,KS,340.95,472.29," 45,334 ",,,,,,,,,,,
104,GSO,Piedmont Triad International,Greensboro/High Point,NC,378.72,524.60," 44,373 ",,,,,,,,,,,
105,AZA,Phoenix - Mesa Gateway,Phoenix,AZ,148.66,205.93," 40,373 ",,,,,,,,,,,
106,ISP,Long Island MacArthur,Islip,NY,284.68,394.33," 39,682 ",,,,,,,,,,,
