Average Domestic Airline Itinerary Fares By Origin City for Q1 2021 Ranked by Total Number of Domestic Passengers in 2022,,,,,,,,,,,,,,,,,,
2022 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Quarter:  Q1-2023),2022 Passengers (10% sample),,,,,,,,,,,
1,LAX,Los Angeles International,Los Angeles,CA,246.23,281.28," 1,204,082 ",,,,,,,,,,,
2,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,243.53,278.19," 998,248 ",,,,,,,,,,,
3,DEN,Denver International,Denver,CO,230.59,263.41," 990,155 ",,,,,,,,,,,
4,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,253.12,289.14," 951,353 ",,,,,,,,,,,
5,EWR,Newark Liberty International,Newark,NJ,238.21,272.12," 844,385 ",,,,,,,,,,,
6,BOS,Logan International,Boston,MA,243.31,277.95," 832,670 ",,,,,,,,,,,
7,SEA,Seattle/Tacoma International,Seattle,WA,256.21,292.68," 815,080 ",,,,,,,,,,,
8,MCO,Orlando International,Orlando,FL,184.58,210.85," 809,938 ",,,,,,,,,,,
9,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,273.12,311.99," 781,899 ",,,,,,,,,,,
10,PHX,Phoenix Sky Harbor International,Phoenix,AZ,246.15,281.18," 753,870 ",,,,,,,,,,,
11,SFO,San Francisco International,San Francisco,CA,302.27,345.30," 745,559 ",,,,,,,,,,,
12,JFK,John F. Kennedy International,New York-JFK,NY,263.79,301.34," 692,687 ",,,,,,,,,,,
13,LAS,Harry Reid International,Las Vegas,NV,196.27,224.20," 687,806 ",,,,,,,,,,,
14,LGA,LaGuardia,New York-La Guardia,NY,234.40,267.76," 672,207 ",,,,,,,,,,,
15,MSP,Minneapolis-St Paul International,Minneapolis,MN,274.51,313.58," 592,925 ",,,,,,,,,,,
16,PHL,Philadelphia International,Philadelphia,PA,237.89,271.76," 553,118 ",,,,,,,,,,,
17,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,286.07,326.79," 551,714 ",,,,,,,,,,,
18,SAN,San Diego International,San Diego,CA,270.39,308.88," 530,752 ",,,,,,,,,,,
19,DTW,Detroit Metro Wayne County,Detroit,MI,294.17,336.05," 526,777 ",,,,,,,,,,,
20,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,187.35,214.01," 524,862 ",,,,,,,,,,,
21,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,282.17,322.34," 488,036 ",,,,,,,,,,,
22,TPA,Tampa International,Tampa,FL,225.39,257.47," 480,514 ",,,,,,,,,,,
23,MIA,Miami International,Miami,FL,224.43,256.38," 478,823 ",,,,,,,,,,,
24,AUS,Austin - Bergstrom International,Austin,TX,266.01,303.87," 453,572 ",,,,,,,,,,,
25,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,237.39,271.18," 442,456 ",,,,,,,,,,,
26,PDX,Portland International,Portland,OR,291.84,333.38," 400,840 ",,,,,,,,,,,
27,SLC,Salt Lake City International,Salt Lake City,UT,314.42,359.17," 400,695 ",,,,,,,,,,,
28,BNA,Nashville International,Nashville,TN,248.95,284.39," 387,230 ",,,,,,,,,,,
29,CLT,Charlotte Douglas International,Charlotte,NC,279.76,319.58," 372,212 ",,,,,,,,,,,
30,SMF,Sacramento International,Sacramento,CA,272.15,310.89," 339,569 ",,,,,,,,,,,
31,RDU,Raleigh-Durham International,Raleigh/Durham,NC,253.87,290.01," 327,718 ",,,,,,,,,,,
32,MDW,Chicago Midway International,Chicago-Midway,IL,208.10,237.72," 320,449 ",,,,,,,,,,,
33,HNL,Daniel K Inouye International,Honolulu,HI,291.19,332.63," 312,069 ",,,,,,,,,,,
34,STL,St Louis Lambert International,St. Louis,MO,279.59,319.39," 290,937 ",,,,,,,,,,,
35,SJC,Norman Y. Mineta San Jose International,San Jose,CA,248.33,283.68," 284,602 ",,,,,,,,,,,
36,OAK,Metro Oakland International,Oakland,CA,219.32,250.54," 272,223 ",,,,,,,,,,,
37,DAL,Dallas Love Field,Dallas-Love Field,TX,218.90,250.06," 268,490 ",,,,,,,,,,,
38,SNA,John Wayne Airport-Orange County,Santa Ana,CA,272.85,311.69," 265,267 ",,,,,,,,,,,
39,MCI,Kansas City International,Kansas City,MO,295.17,337.18," 262,674 ",,,,,,,,,,,
40,MSY,Louis Armstrong New Orleans International,New Orleans,LA,231.74,264.72," 258,635 ",,,,,,,,,,,
41,CLE,Cleveland-Hopkins International,Cleveland,OH,232.68,265.80," 256,332 ",,,,,,,,,,,
42,IAD,Washington Dulles International,Washington-Dulles,DC,326.23,372.67," 253,348 ",,,,,,,,,,,
43,IND,Indianapolis International,Indianapolis,IN,269.97,308.39," 251,793 ",,,,,,,,,,,
44,SJU,Luis Munoz Marin International,San Juan,PR,177.27,202.51," 243,172 ",,,,,,,,,,,
45,SAT,San Antonio International,San Antonio,TX,292.40,334.01," 241,700 ",,,,,,,,,,,
46,PIT,Pittsburgh International,Pittsburgh,PA,265.85,303.69," 233,411 ",,,,,,,,,,,
47,CVG,Cincinnati/Northern Kentucky International,Cincinnati,OH,248.40,283.76," 228,128 ",,,,,,,,,,,
48,CMH,John Glenn Columbus International,Columbus,OH,278.95,318.65," 213,465 ",,,,,,,,,,,
49,HOU,William P Hobby,Houston-Hobby,TX,236.30,269.93," 207,837 ",,,,,,,,,,,
50,RSW,Southwest Florida International,Fort Myers,FL,233.28,266.48," 200,474 ",,,,,,,,,,,
51,BDL,Bradley International,Hartford,CT,258.38,295.16," 183,949 ",,,,,,,,,,,
52,ONT,Ontario International,Ontario,CA,260.48,297.56," 170,319 ",,,,,,,,,,,
53,JAX,Jacksonville International,Jacksonville,FL,292.07,333.65," 169,662 ",,,,,,,,,,,
54,MKE,General Mitchell International,Milwaukee,WI,293.78,335.60," 164,464 ",,,,,,,,,,,
55,BUR,Bob Hope,Burbank,CA,229.94,262.67," 160,987 ",,,,,,,,,,,
56,PBI,Palm Beach International,West Palm Beach/Palm Beach,FL,258.10,294.84," 157,443 ",,,,,,,,,,,
57,OMA,Eppley Airfield,Omaha,NE,295.22,337.24," 128,152 ",,,,,,,,,,,
58,MEM,Memphis International,Memphis,TN,281.29,321.33," 124,614 ",,,,,,,,,,,
59,RIC,Richmond International,Richmond,VA,268.52,306.74," 124,059 ",,,,,,,,,,,
60,BOI,Boise Air Terminal,Boise,ID,277.55,317.05," 123,162 ",,,,,,,,,,,
61,CHS,Charleston AFB/International,Charleston,SC,289.74,330.98," 122,207 ",,,,,,,,,,,
62,BUF,Buffalo Niagara International,Buffalo,NY,279.19,318.93," 121,735 ",,,,,,,,,,,
63,ORF,Norfolk International,Norfolk,VA,308.59,352.52," 117,993 ",,,,,,,,,,,
64,ABQ,Albuquerque International Sunport,Albuquerque,NM,278.90,318.59," 117,060 ",,,,,,,,,,,
65,OGG,Kahului Airport,Kahului,HI,280.21,320.10," 113,378 ",,,,,,,,,,,
66,ELP,El Paso International,El Paso,TX,289.92,331.19," 113,101 ",,,,,,,,,,,
67,GRR,Gerald R. Ford International,Grand Rapids,MI,279.44,319.22," 108,941 ",,,,,,,,,,,
68,OKC,Will Rogers World,Oklahoma City,OK,302.75,345.84," 107,989 ",,,,,,,,,,,
69,SDF,Louisville Muhammad Ali International,Louisville,KY,289.43,330.62," 106,632 ",,,,,,,,,,,
70,ANC,Ted Stevens Anchorage International,Anchorage,AK,425.53,486.10," 105,666 ",,,,,,,,,,,
71,GEG,Spokane International,Spokane,WA,283.24,323.55," 104,809 ",,,,,,,,,,,
72,RNO,Reno/Tahoe International,Reno,NV,269.63,308.01," 100,069 ",,,,,,,,,,,
73,PVD,Rhode Island Tf Green International,Providence,RI,241.49,275.87," 96,518 ",,,,,,,,,,,
74,TUS,Tucson International,Tucson,AZ,284.45,324.94," 90,011 ",,,,,,,,,,,
75,DSM,Des Moines International,Des Moines,IA,288.50,329.56," 86,426 ",,,,,,,,,,,
76,LGB,Long Beach Airport,Long Beach,CA,202.73,231.59," 85,454 ",,,,,,,,,,,
77,TUL,Tulsa International,Tulsa,OK,300.29,343.03," 80,986 ",,,,,,,,,,,
78,SYR,Syracuse Hancock International,Syracuse,NY,271.24,309.85," 79,344 ",,,,,,,,,,,
79,SRQ,Sarasota/Bradenton International,Sarasota/Bradenton,FL,233.31,266.52," 78,452 ",,,,,,,,,,,
80,ALB,Albany International,Albany,NY,276.03,315.32," 78,345 ",,,,,,,,,,,
81,BHM,Birmingham-Shuttlesworth International,Birmingham,AL,323.47,369.51," 75,675 ",,,,,,,,,,,
82,SAV,Savannah/Hilton Head International,Savannah,GA,302.27,345.30," 74,039 ",,,,,,,,,,,
83,ROC,Frederick Douglass Grtr Rochester International,Rochester,NY,298.36,340.82," 72,280 ",,,,,,,,,,,
84,KOA,Ellison Onizuka Kona International at Keahole,Kona,HI,274.23,313.26," 67,891 ",,,,,,,,,,,
85,TYS,McGhee Tyson,Knoxville,TN,300.42,343.18," 64,333 ",,,,,,,,,,,
86,MYR,Myrtle Beach International,Myrtle Beach,SC,249.50,285.01," 62,925 ",,,,,,,,,,,
87,PNS,Pensacola International,Pensacola,FL,292.46,334.09," 60,511 ",,,,,,,,,,,
88,GSP,Greenville-Spartanburg International,Greer,SC,315.50,360.41," 59,223 ",,,,,,,,,,,
89,COS,City of Colorado Springs Municipal,Colorado Springs,CO,291.17,332.61," 58,992 ",,,,,,,,,,,
90,HPN,Westchester County,White Plains,NY,261.22,298.41," 58,461 ",,,,,,,,,,,
91,LIH,Lihue Airport,Lihue,HI,242.14,276.61," 58,367 ",,,,,,,,,,,
92,FAT,Fresno Yosemite International,Fresno,CA,302.05,345.04," 57,786 ",,,,,,,,,,,
93,LIT,Bill and Hillary Clinton Nat Adams Field,Little Rock,AR,302.14,345.14," 56,757 ",,,,,,,,,,,
94,MSN,Dane County Regional-Truax Field,Madison,WI,341.91,390.58," 55,194 ",,,,,,,,,,,
95,PWM,Portland International Jetport,Portland,ME,259.14,296.03," 54,716 ",,,,,,,,,,,
96,PSP,Palm Springs International,Palm Springs,CA,270.79,309.33," 52,936 ",,,,,,,,,,,
97,BZN,Bozeman Yellowstone International,Bozeman,MT,306.12,349.69," 50,546 ",,,,,,,,,,,
98,SFB,Orlando Sanford International,Sanford,FL,107.63,122.95," 47,740 ",,,,,,,,,,,
99,PIE,St Pete Clearwater International,St. Petersburg,FL,111.81,127.72," 47,279 ",,,,,,,,,,,
100,AVL,Asheville Regional,Asheville,NC,231.77,264.76," 46,964 ",,,,,,,,,,,
101,XNA,Northwest Arkansas National,Fayetteville,AR,366.29,418.42," 45,953 ",,,,,,,,,,,
102,EUG,Mahlon Sweet Field,Eugene,OR,283.80,324.19," 45,553 ",,,,,,,,,,,
103,ICT,Wichita Dwight D Eisenhower National,Wichita,KS,305.91,349.45," 45,334 ",,,,,,,,,,,
104,GSO,Piedmont Triad International,Greensboro/High Point,NC,333.61,381.10," 44,373 ",,,,,,,,,,,
105,AZA,Phoenix - Mesa Gateway,Phoenix,AZ,121.93,139.28," 40,373 ",,,,,,,,,,,
106,ISP,Long Island MacArthur,Islip,NY,224.48,256.43," 39,682 ",,,,,,,,,,,
107,CID,The Eastern Iowa,Cedar Rapids/Iowa City,IA,281.54,321.62," 39,310 ",,,,,,,,,,,
108,MHT,Manchester Boston Regional,Manchester,NH,291.15,332.59," 39,250 ",,,,,,,,,,,
109,MDT,Harrisburg International,Harrisburg,PA,300.49,343.26," 39,114 ",,,,,,,,,,,
110,FSD,Joe Foss Field,Sioux Falls,SD,301.85,344.82," 37,951 ",,,,,,,,,,,
111,JAN,Jackson Medgar Wiley Evers International,Jackson/Vicksburg,MS,396.79,453.27," 36,064 ",,,,,,,,,,,
112,MAF,Midland International Air and Space Port,Midland/Odessa,TX,307.88,351.71," 35,477 ",,,,,,,,,,,
113,PGD,Punta Gorda Airport,Punta Gorda,FL,128.13,146.37," 34,911 ",,,,,,,,,,,
114,BTV,Burlington International,Burlington,VT,350.50,400.38," 34,302 ",,,,,,,,,,,
115,VPS,Eglin AFB Destin Fort Walton Beach,Valparaiso,FL,333.16,380.58," 34,165 ",,,,,,,,,,,
116,LEX,Blue Grass,Lexington,KY,327.02,373.57," 33,204 ",,,,,,,,,,,
117,SBA,Santa Barbara Municipal,Santa Barbara,CA,358.24,409.23," 33,057 ",,,,,,,,,,,
118,HSV,Huntsville International-Carl T Jones Field,Huntsville,AL,403.68,461.14," 32,418 ",,,,,,,,,,,
119,DAY,James M Cox/Dayton International,Dayton,OH,315.06,359.91," 32,281 ",,,,,,,,,,,
120,ITO,Hilo International,Hilo,HI,144.36,164.91," 31,863 ",,,,,,,,,,,
121,MFE,McAllen International,Mission/McAllen/Edinburg,TX,325.79,372.16," 30,582 ",,,,,,,,,,,
122,SGF,Springfield-Branson National,Springfield,MO,342.17,390.87," 29,988 ",,,,,,,,,,,
123,ILM,Wilmington International,Wilmington,NC,337.20,385.19," 29,838 ",,,,,,,,,,,
124,ABE,Lehigh Valley International,Allentown/Bethlehem/Easton,PA,226.19,258.39," 29,672 ",,,,,,,,,,,
125,MFR,Rogue Valley International - Medford,Medford,OR,293.35,335.11," 29,385 ",,,,,,,,,,,
126,FAR,Hector International,Fargo,ND,329.69,376.62," 28,922 ",,,,,,,,,,,
127,HVN,Tweed New Haven,New Haven,CT,284.72,325.25," 28,589 ",,,,,,,,,,,
128,RDM,Roberts Field,Bend/Redmond,OR,298.58,341.08," 28,485 ",,,,,,,,,,,
129,ATW,Appleton International,Appleton,WI,304.33,347.65," 28,471 ",,,,,,,,,,,
130,CAE,Columbia Metropolitan,Columbia,SC,362.68,414.30," 28,304 ",,,,,,,,,,,
131,ACY,Atlantic City International,Atlantic City,NJ,107.84,123.19," 27,914 ",,,,,,,,,,,
132,ECP,Northwest Florida Beaches International,Panama City,FL,299.04,341.61," 27,650 ",,,,,,,,,,,
133,LBB,Lubbock Preston Smith International,Lubbock,TX,318.37,363.69," 26,643 ",,,,,,,,,,,
134,FAI,Fairbanks International,Fairbanks,AK,421.39,481.37," 25,849 ",,,,,,,,,,,
135,CHA,Lovell Field,Chattanooga,TN,326.44,372.90," 25,231 ",,,,,,,,,,,
136,HRL,Valley International,Harlingen/San Benito,TX,273.29,312.19," 25,134 ",,,,,,,,,,,
137,PSC,Tri Cities,Pasco/Kennewick/Richland,WA,294.44,336.35," 24,297 ",,,,,,,,,,,
138,FWA,Fort Wayne International,Fort Wayne,IN,276.23,315.55," 23,986 ",,,,,,,,,,,
139,SBN,South Bend International,South Bend,IN,257.40,294.04," 23,412 ",,,,,,,,,,,
140,TTN,Trenton Mercer,Trenton,NJ,124.16,141.83," 23,320 ",,,,,,,,,,,
141,STT,Cyril E King,Charlotte Amalie,VI,271.47,310.11," 22,552 ",,,,,,,,,,,
142,MSO,Missoula Montana,Missoula,MT,324.14,370.28," 22,036 ",,,,,,,,,,,
143,TLH,Tallahassee International,Tallahassee,FL,381.87,436.23," 21,803 ",,,,,,,,,,,
144,FNT,Bishop International,Flint,MI,226.29,258.50," 21,759 ",,,,,,,,,,,
145,BLI,Bellingham International,Bellingham,WA,233.43,266.65," 21,095 ",,,,,,,,,,,
146,BIL,Billings Logan International,Billings,MT,320.12,365.68," 21,002 ",,,,,,,,,,,
147,PIA,General Downing - Peoria International,Peoria,IL,244.12,278.86," 19,868 ",,,,,,,,,,,
148,AMA,Rick Husband Amarillo International,Amarillo,TX,316.23,361.24," 19,558 ",,,,,,,,,,,
149,BTR,Baton Rouge Metropolitan/Ryan Field,Baton Rouge,LA,359.13,410.25," 18,900 ",,,,,,,,,,,
150,BGR,Bangor International,Bangor,ME,259.21,296.11," 18,535 ",,,,,,,,,,,
151,FCA,Glacier Park International,Kalispell,MT,361.44,412.89," 18,363 ",,,,,,,,,,,
152,CAK,Akron-Canton Regional,Akron,OH,293.84,335.66," 18,054 ",,,,,,,,,,,
153,GRB,Green Bay Austin Straubel International,Green Bay,WI,372.07,425.04," 17,912 ",,,,,,,,,,,
154,MLI,Quad Cities International,Moline,IL,278.27,317.87," 17,389 ",,,,,,,,,,,
155,PAE,Snohomish County,Everett,WA,245.48,280.42," 17,309 ",,,,,,,,,,,
156,CRP,Corpus Christi International,Corpus Christi,TX,329.49,376.39," 17,271 ",,,,,,,,,,,
157,IDA,Idaho Falls Regional,Idaho Falls,ID,352.83,403.05," 17,158 ",,,,,,,,,,,
158,ROA,Roanoke Blacksburg Regional,Roanoke,VA,352.07,402.18," 16,923 ",,,,,,,,,,,
159,STS,Charles M. Schulz - Sonoma County,Santa Rosa,CA,269.11,307.41," 16,643 ",,,,,,,,,,,
160,EYW,Key West International,Key West,FL,325.10,371.38," 16,593 ",,,,,,,,,,,
161,RAP,Rapid City Regional,Rapid City,SD,346.46,395.77," 16,117 ",,,,,,,,,,,
