Average Domestic Airline Itinerary Fares By Origin City for Q1 2022 Ranked by Total Number of Domestic Passengers in 2022,,,,,,,,,,,,,,,,,,
2022 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Quarter:  Q1-2023),2022 Passengers (10% sample),,,,,,,,,,,
1,LAX,Los Angeles International,Los Angeles,CA,331.70,350.96," 1,204,082 ",,,,,,,,,,,
2,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,333.44,352.80," 998,248 ",,,,,,,,,,,
3,DEN,Denver International,Denver,CO,303.82,321.46," 990,155 ",,,,,,,,,,,
4,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,339.85,359.58," 951,353 ",,,,,,,,,,,
5,EWR,Newark Liberty International,Newark,NJ,331.40,350.64," 844,385 ",,,,,,,,,,,
6,BOS,Logan International,Boston,MA,339.72,359.44," 832,670 ",,,,,,,,,,,
7,SEA,Seattle/Tacoma International,Seattle,WA,338.22,357.85," 815,080 ",,,,,,,,,,,
8,MCO,Orlando International,Orlando,FL,248.19,262.60," 809,938 ",,,,,,,,,,,
9,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,359.82,380.71," 781,899 ",,,,,,,,,,,
10,PHX,Phoenix Sky Harbor International,Phoenix,AZ,314.80,333.08," 753,870 ",,,,,,,,,,,
11,SFO,San Francisco International,San Francisco,CA,364.06,385.19," 745,559 ",,,,,,,,,,,
12,JFK,John F. Kennedy International,New York-JFK,NY,349.85,370.16," 692,687 ",,,,,,,,,,,
13,LAS,Harry Reid International,Las Vegas,NV,239.77,253.69," 687,806 ",,,,,,,,,,,
14,LGA,LaGuardia,New York-La Guardia,NY,272.13,287.92," 672,207 ",,,,,,,,,,,
15,MSP,Minneapolis-St Paul International,Minneapolis,MN,376.07,397.90," 592,925 ",,,,,,,,,,,
16,PHL,Philadelphia International,Philadelphia,PA,334.34,353.75," 553,118 ",,,,,,,,,,,
17,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,353.81,374.35," 551,714 ",,,,,,,,,,,
18,SAN,San Diego International,San Diego,CA,329.83,348.98," 530,752 ",,,,,,,,,,,
19,DTW,Detroit Metro Wayne County,Detroit,MI,378.37,400.33," 526,777 ",,,,,,,,,,,
20,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,246.74,261.07," 524,862 ",,,,,,,,,,,
21,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,324.65,343.50," 488,036 ",,,,,,,,,,,
22,TPA,Tampa International,Tampa,FL,274.03,289.94," 480,514 ",,,,,,,,,,,
23,MIA,Miami International,Miami,FL,281.04,297.36," 478,823 ",,,,,,,,,,,
24,AUS,Austin - Bergstrom International,Austin,TX,317.41,335.83," 453,572 ",,,,,,,,,,,
25,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,305.90,323.66," 442,456 ",,,,,,,,,,,
26,PDX,Portland International,Portland,OR,365.21,386.41," 400,840 ",,,,,,,,,,,
27,SLC,Salt Lake City International,Salt Lake City,UT,379.81,401.86," 400,695 ",,,,,,,,,,,
28,BNA,Nashville International,Nashville,TN,310.58,328.61," 387,230 ",,,,,,,,,,,
29,CLT,Charlotte Douglas International,Charlotte,NC,381.77,403.94," 372,212 ",,,,,,,,,,,
30,SMF,Sacramento International,Sacramento,CA,317.48,335.90," 339,569 ",,,,,,,,,,,
31,RDU,Raleigh-Durham International,Raleigh/Durham,NC,319.93,338.50," 327,718 ",,,,,,,,,,,
32,MDW,Chicago Midway International,Chicago-Midway,IL,289.54,306.35," 320,449 ",,,,,,,,,,,
33,HNL,Daniel K Inouye International,Honolulu,HI,309.68,327.65," 312,069 ",,,,,,,,,,,
34,STL,St Louis Lambert International,St. Louis,MO,329.45,348.57," 290,937 ",,,,,,,,,,,
35,SJC,Norman Y. Mineta San Jose International,San Jose,CA,286.29,302.91," 284,602 ",,,,,,,,,,,
36,OAK,Metro Oakland International,Oakland,CA,261.97,277.18," 272,223 ",,,,,,,,,,,
37,DAL,Dallas Love Field,Dallas-Love Field,TX,285.01,301.55," 268,490 ",,,,,,,,,,,
38,SNA,John Wayne Airport-Orange County,Santa Ana,CA,326.68,345.65," 265,267 ",,,,,,,,,,,
39,MCI,Kansas City International,Kansas City,MO,358.67,379.49," 262,674 ",,,,,,,,,,,
40,MSY,Louis Armstrong New Orleans International,New Orleans,LA,286.44,303.07," 258,635 ",,,,,,,,,,,
41,CLE,Cleveland-Hopkins International,Cleveland,OH,286.97,303.63," 256,332 ",,,,,,,,,,,
42,IAD,Washington Dulles International,Washington-Dulles,DC,417.78,442.03," 253,348 ",,,,,,,,,,,
43,IND,Indianapolis International,Indianapolis,IN,332.42,351.72," 251,793 ",,,,,,,,,,,
44,SJU,Luis Munoz Marin International,San Juan,PR,267.47,283.00," 243,172 ",,,,,,,,,,,
45,SAT,San Antonio International,San Antonio,TX,347.52,367.69," 241,700 ",,,,,,,,,,,
46,PIT,Pittsburgh International,Pittsburgh,PA,324.38,343.21," 233,411 ",,,,,,,,,,,
47,CVG,Cincinnati/Northern Kentucky International,Cincinnati,OH,327.45,346.45," 228,128 ",,,,,,,,,,,
48,CMH,John Glenn Columbus International,Columbus,OH,339.72,359.44," 213,465 ",,,,,,,,,,,
49,HOU,William P Hobby,Houston-Hobby,TX,290.83,307.71," 207,837 ",,,,,,,,,,,
50,RSW,Southwest Florida International,Fort Myers,FL,293.19,310.21," 200,474 ",,,,,,,,,,,
51,BDL,Bradley International,Hartford,CT,331.40,350.64," 183,949 ",,,,,,,,,,,
52,ONT,Ontario International,Ontario,CA,312.20,330.33," 170,319 ",,,,,,,,,,,
53,JAX,Jacksonville International,Jacksonville,FL,342.77,362.67," 169,662 ",,,,,,,,,,,
54,MKE,General Mitchell International,Milwaukee,WI,346.83,366.96," 164,464 ",,,,,,,,,,,
55,BUR,Bob Hope,Burbank,CA,242.03,256.08," 160,987 ",,,,,,,,,,,
56,PBI,Palm Beach International,West Palm Beach/Palm Beach,FL,331.66,350.91," 157,443 ",,,,,,,,,,,
57,OMA,Eppley Airfield,Omaha,NE,365.08,386.27," 128,152 ",,,,,,,,,,,
58,MEM,Memphis International,Memphis,TN,351.06,371.44," 124,614 ",,,,,,,,,,,
59,RIC,Richmond International,Richmond,VA,338.03,357.65," 124,059 ",,,,,,,,,,,
60,BOI,Boise Air Terminal,Boise,ID,358.01,378.79," 123,162 ",,,,,,,,,,,
61,CHS,Charleston AFB/International,Charleston,SC,321.68,340.35," 122,207 ",,,,,,,,,,,
62,BUF,Buffalo Niagara International,Buffalo,NY,310.61,328.64," 121,735 ",,,,,,,,,,,
63,ORF,Norfolk International,Norfolk,VA,361.14,382.11," 117,993 ",,,,,,,,,,,
64,ABQ,Albuquerque International Sunport,Albuquerque,NM,343.96,363.93," 117,060 ",,,,,,,,,,,
65,OGG,Kahului Airport,Kahului,HI,279.46,295.68," 113,378 ",,,,,,,,,,,
66,ELP,El Paso International,El Paso,TX,346.00,366.08," 113,101 ",,,,,,,,,,,
67,GRR,Gerald R. Ford International,Grand Rapids,MI,349.29,369.57," 108,941 ",,,,,,,,,,,
68,OKC,Will Rogers World,Oklahoma City,OK,359.16,380.01," 107,989 ",,,,,,,,,,,
69,SDF,Louisville Muhammad Ali International,Louisville,KY,320.21,338.80," 106,632 ",,,,,,,,,,,
70,ANC,Ted Stevens Anchorage International,Anchorage,AK,455.92,482.39," 105,666 ",,,,,,,,,,,
71,GEG,Spokane International,Spokane,WA,373.39,395.07," 104,809 ",,,,,,,,,,,
72,RNO,Reno/Tahoe International,Reno,NV,337.57,357.16," 100,069 ",,,,,,,,,,,
73,PVD,Rhode Island Tf Green International,Providence,RI,308.31,326.20," 96,518 ",,,,,,,,,,,
