Average Domestic Airline Itinerary Fares By Origin City for Q1 2016 Ranked by Total Number of Domestic Passengers in 2022,,,,,,,,,,,,,,,,,,
2022 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Quarter:  Q1-2023),2022 Passengers (10% sample),,,,,,,,,,,
1,LAX,Los Angeles International,Los Angeles,CA,361.85,458.23," 1,204,082 ",,,,,,,,,,,
2,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,338.31,428.41," 998,248 ",,,,,,,,,,,
3,DEN,Denver International,Denver,CO,326.10,412.96," 990,155 ",,,,,,,,,,,
4,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,373.26,472.68," 951,353 ",,,,,,,,,,,
5,EWR,Newark Liberty International,Newark,NJ,449.14,568.78," 844,385 ",,,,,,,,,,,
6,BOS,Logan International,Boston,MA,367.32,465.16," 832,670 ",,,,,,,,,,,
7,SEA,Seattle/Tacoma International,Seattle,WA,337.83,427.81," 815,080 ",,,,,,,,,,,
8,MCO,Orlando International,Orlando,FL,261.16,330.72," 809,938 ",,,,,,,,,,,
9,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,351.52,445.14," 781,899 ",,,,,,,,,,,
10,PHX,Phoenix Sky Harbor International,Phoenix,AZ,340.30,430.94," 753,870 ",,,,,,,,,,,
11,SFO,San Francisco International,San Francisco,CA,397.63,503.54," 745,559 ",,,,,,,,,,,
12,JFK,John F. Kennedy International,New York-JFK,NY,402.53,509.75," 692,687 ",,,,,,,,,,,
13,LAS,Harry Reid International,Las Vegas,NV,233.54,295.75," 687,806 ",,,,,,,,,,,
14,LGA,LaGuardia,New York-La Guardia,NY,336.43,426.04," 672,207 ",,,,,,,,,,,
15,MSP,Minneapolis-St Paul International,Minneapolis,MN,415.71,526.44," 592,925 ",,,,,,,,,,,
16,PHL,Philadelphia International,Philadelphia,PA,373.47,472.94," 553,118 ",,,,,,,,,,,
17,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,443.96,562.21," 551,714 ",,,,,,,,,,,
18,SAN,San Diego International,San Diego,CA,350.22,443.50," 530,752 ",,,,,,,,,,,
19,DTW,Detroit Metro Wayne County,Detroit,MI,393.17,497.90," 526,777 ",,,,,,,,,,,
20,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,252.58,319.85," 524,862 ",,,,,,,,,,,
21,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,343.57,435.08," 488,036 ",,,,,,,,,,,
22,TPA,Tampa International,Tampa,FL,307.14,388.95," 480,514 ",,,,,,,,,,,
23,MIA,Miami International,Miami,FL,313.75,397.33," 478,823 ",,,,,,,,,,,
24,AUS,Austin - Bergstrom International,Austin,TX,374.50,474.25," 453,572 ",,,,,,,,,,,
25,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,326.54,413.52," 442,456 ",,,,,,,,,,,
26,PDX,Portland International,Portland,OR,334.67,423.81," 400,840 ",,,,,,,,,,,
27,SLC,Salt Lake City International,Salt Lake City,UT,392.69,497.28," 400,695 ",,,,,,,,,,,
28,BNA,Nashville International,Nashville,TN,378.60,479.44," 387,230 ",,,,,,,,,,,
29,CLT,Charlotte Douglas International,Charlotte,NC,449.64,569.41," 372,212 ",,,,,,,,,,,
30,SMF,Sacramento International,Sacramento,CA,353.35,447.47," 339,569 ",,,,,,,,,,,
31,RDU,Raleigh-Durham International,Raleigh/Durham,NC,374.29,473.98," 327,718 ",,,,,,,,,,,
32,MDW,Chicago Midway International,Chicago-Midway,IL,293.27,371.39," 320,449 ",,,,,,,,,,,
33,HNL,Daniel K Inouye International,Honolulu,HI,358.79,454.35," 312,069 ",,,,,,,,,,,
34,STL,St Louis Lambert International,St. Louis,MO,368.24,466.32," 290,937 ",,,,,,,,,,,
