Average Domestic Airline Itinerary Fares By Origin City for Q1 2017 Ranked by Total Number of Domestic Passengers in 2022,,,,,,,,,,,,,,,,,,
2022 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Quarter:  Q1-2023),2022 Passengers (10% sample),,,,,,,,,,,
1,LAX,Los Angeles International,Los Angeles,CA,342.43,422.91," 1,204,082 ",,,,,,,,,,,
2,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,329.20,406.55," 998,248 ",,,,,,,,,,,
3,DEN,Denver International,Denver,CO,322.29,398.03," 990,155 ",,,,,,,,,,,
4,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,356.50,440.28," 951,353 ",,,,,,,,,,,
5,EWR,Newark Liberty International,Newark,NJ,390.52,482.29," 844,385 ",,,,,,,,,,,
6,BOS,Logan International,Boston,MA,338.89,418.52," 832,670 ",,,,,,,,,,,
7,SEA,Seattle/Tacoma International,Seattle,WA,327.08,403.95," 815,080 ",,,,,,,,,,,
8,MCO,Orlando International,Orlando,FL,264.89,327.13," 809,938 ",,,,,,,,,,,
9,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,371.37,458.64," 781,899 ",,,,,,,,,,,
10,PHX,Phoenix Sky Harbor International,Phoenix,AZ,324.59,400.87," 753,870 ",,,,,,,,,,,
11,SFO,San Francisco International,San Francisco,CA,390.12,481.80," 745,559 ",,,,,,,,,,,
12,JFK,John F. Kennedy International,New York-JFK,NY,383.59,473.73," 692,687 ",,,,,,,,,,,
13,LAS,Harry Reid International,Las Vegas,NV,251.33,310.39," 687,806 ",,,,,,,,,,,
14,LGA,LaGuardia,New York-La Guardia,NY,312.21,385.58," 672,207 ",,,,,,,,,,,
15,MSP,Minneapolis-St Paul International,Minneapolis,MN,385.09,475.59," 592,925 ",,,,,,,,,,,
16,PHL,Philadelphia International,Philadelphia,PA,377.68,466.43," 553,118 ",,,,,,,,,,,
17,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,437.00,539.70," 551,714 ",,,,,,,,,,,
18,SAN,San Diego International,San Diego,CA,345.89,427.18," 530,752 ",,,,,,,,,,,
19,DTW,Detroit Metro Wayne County,Detroit,MI,380.16,469.50," 526,777 ",,,,,,,,,,,
20,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,238.28,294.28," 524,862 ",,,,,,,,,,,
21,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,340.36,420.34," 488,036 ",,,,,,,,,,,
22,TPA,Tampa International,Tampa,FL,316.60,391.00," 480,514 ",,,,,,,,,,,
23,MIA,Miami International,Miami,FL,314.36,388.24," 478,823 ",,,,,,,,,,,
24,AUS,Austin - Bergstrom International,Austin,TX,386.60,477.45," 453,572 ",,,,,,,,,,,
25,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,313.00,386.55," 442,456 ",,,,,,,,,,,
26,PDX,Portland International,Portland,OR,321.22,396.71," 400,840 ",,,,,,,,,,,
27,SLC,Salt Lake City International,Salt Lake City,UT,364.98,450.75," 400,695 ",,,,,,,,,,,
28,BNA,Nashville International,Nashville,TN,361.59,446.57," 387,230 ",,,,,,,,,,,
29,CLT,Charlotte Douglas International,Charlotte,NC,416.99,514.98," 372,212 ",,,,,,,,,,,
30,SMF,Sacramento International,Sacramento,CA,348.54,430.44," 339,569 ",,,,,,,,,,,
31,RDU,Raleigh-Durham International,Raleigh/Durham,NC,350.32,432.64," 327,718 ",,,,,,,,,,,
32,MDW,Chicago Midway International,Chicago-Midway,IL,283.22,349.77," 320,449 ",,,,,,,,,,,
33,HNL,Daniel K Inouye International,Honolulu,HI,357.74,441.80," 312,069 ",,,,,,,,,,,
34,STL,St Louis Lambert International,St. Louis,MO,375.66,463.94," 290,937 ",,,,,,,,,,,
35,SJC,Norman Y. Mineta San Jose International,San Jose,CA,301.24,372.03," 284,602 ",,,,,,,,,,,
36,OAK,Metro Oakland International,Oakland,CA,289.45,357.47," 272,223 ",,,,,,,,,,,
