Average Domestic Airline Itinerary Fares By Origin City for Q1 2012 Ranked by Total Number of Domestic Passengers in 2022,,,,,,,,,,,,,,,,,,
2022 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Quarter:  Q1-2023),2022 Passengers (10% sample),,,,,,,,,,,
1,LAX,Los Angeles International,Los Angeles,CA,377.36,497.75," 1,204,082 ",,,,,,,,,,,
2,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,379.33,500.35," 998,248 ",,,,,,,,,,,
3,DEN,Denver International,Denver,CO,320.96,423.35," 990,155 ",,,,,,,,,,,
4,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,392.29,517.45," 951,353 ",,,,,,,,,,,
5,EWR,Newark Liberty International,Newark,NJ,470.78,620.97," 844,385 ",,,,,,,,,,,
6,BOS,Logan International,Boston,MA,365.41,481.99," 832,670 ",,,,,,,,,,,
7,SEA,Seattle/Tacoma International,Seattle,WA,359.65,474.39," 815,080 ",,,,,,,,,,,
8,MCO,Orlando International,Orlando,FL,289.39,381.71," 809,938 ",,,,,,,,,,,
9,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,449.42,592.80," 781,899 ",,,,,,,,,,,
10,PHX,Phoenix Sky Harbor International,Phoenix,AZ,326.75,430.99," 753,870 ",,,,,,,,,,,
11,SFO,San Francisco International,San Francisco,CA,377.89,498.45," 745,559 ",,,,,,,,,,,
12,JFK,John F. Kennedy International,New York-JFK,NY,394.06,519.78," 692,687 ",,,,,,,,,,,
13,LAS,Harry Reid International,Las Vegas,NV,267.31,352.59," 687,806 ",,,,,,,,,,,
14,LGA,LaGuardia,New York-La Guardia,NY,367.14,484.26," 672,207 ",,,,,,,,,,,
15,MSP,Minneapolis-St Paul International,Minneapolis,MN,454.39,599.35," 592,925 ",,,,,,,,,,,
16,PHL,Philadelphia International,Philadelphia,PA,406.03,535.56," 553,118 ",,,,,,,,,,,
