Average Domestic Airline Itinerary Fares By Origin City for Q1 2013 Ranked by Total Number of Domestic Passengers in 2022,,,,,,,,,,,,,,,,,,
2022 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Quarter:  Q1-2023),2022 Passengers (10% sample),,,,,,,,,,,
1,LAX,Los Angeles International,Los Angeles,CA,398.58,517.05," 1,204,082 ",,,,,,,,,,,
2,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,391.19,507.46," 998,248 ",,,,,,,,,,,
3,DEN,Denver International,Denver,CO,321.17,416.62," 990,155 ",,,,,,,,,,,
4,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,378.75,491.32," 951,353 ",,,,,,,,,,,
5,EWR,Newark Liberty International,Newark,NJ,485.79,630.18," 844,385 ",,,,,,,,,,,
6,BOS,Logan International,Boston,MA,373.76,484.84," 832,670 ",,,,,,,,,,,
7,SEA,Seattle/Tacoma International,Seattle,WA,373.16,484.07," 815,080 ",,,,,,,,,,,
8,MCO,Orlando International,Orlando,FL,289.28,375.25," 809,938 ",,,,,,,,,,,
9,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,415.82,539.40," 781,899 ",,,,,,,,,,,
10,PHX,Phoenix Sky Harbor International,Phoenix,AZ,334.49,433.90," 753,870 ",,,,,,,,,,,
11,SFO,San Francisco International,San Francisco,CA,413.89,536.91," 745,559 ",,,,,,,,,,,
12,JFK,John F. Kennedy International,New York-JFK,NY,418.40,542.75," 692,687 ",,,,,,,,,,,
13,LAS,Harry Reid International,Las Vegas,NV,273.80,355.18," 687,806 ",,,,,,,,,,,
14,LGA,LaGuardia,New York-La Guardia,NY,359.24,466.01," 672,207 ",,,,,,,,,,,
15,MSP,Minneapolis-St Paul International,Minneapolis,MN,449.10,582.58," 592,925 ",,,,,,,,,,,
16,PHL,Philadelphia International,Philadelphia,PA,401.20,520.45," 553,118 ",,,,,,,,,,,
17,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,502.84,652.29," 551,714 ",,,,,,,,,,,
18,SAN,San Diego International,San Diego,CA,346.19,449.08," 530,752 ",,,,,,,,,,,
19,DTW,Detroit Metro Wayne County,Detroit,MI,415.74,539.30," 526,777 ",,,,,,,,,,,
20,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,285.26,370.04," 524,862 ",,,,,,,,,,,
21,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,372.03,482.61," 488,036 ",,,,,,,,,,,
22,TPA,Tampa International,Tampa,FL,322.32,418.12," 480,514 ",,,,,,,,,,,
23,MIA,Miami International,Miami,FL,387.49,502.65," 478,823 ",,,,,,,,,,,
24,AUS,Austin - Bergstrom International,Austin,TX,386.36,501.18," 453,572 ",,,,,,,,,,,
25,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,326.33,423.32," 442,456 ",,,,,,,,,,,
26,PDX,Portland International,Portland,OR,354.75,460.19," 400,840 ",,,,,,,,,,,
27,SLC,Salt Lake City International,Salt Lake City,UT,411.24,533.47," 400,695 ",,,,,,,,,,,
28,BNA,Nashville International,Nashville,TN,369.77,479.67," 387,230 ",,,,,,,,,,,
29,CLT,Charlotte Douglas International,Charlotte,NC,417.07,541.03," 372,212 ",,,,,,,,,,,
30,SMF,Sacramento International,Sacramento,CA,349.84,453.82," 339,569 ",,,,,,,,,,,
31,RDU,Raleigh-Durham International,Raleigh/Durham,NC,349.81,453.78," 327,718 ",,,,,,,,,,,
32,MDW,Chicago Midway International,Chicago-Midway,IL,315.14,408.80," 320,449 ",,,,,,,,,,,
33,HNL,Daniel K Inouye International,Honolulu,HI,310.69,403.03," 312,069 ",,,,,,,,,,,
34,STL,St Louis Lambert International,St. Louis,MO,356.59,462.57," 290,937 ",,,,,,,,,,,
35,SJC,Norman Y. Mineta San Jose International,San Jose,CA,329.86,427.89," 284,602 ",,,,,,,,,,,
36,OAK,Metro Oakland International,Oakland,CA,294.35,381.84," 272,223 ",,,,,,,,,,,
37,DAL,Dallas Love Field,Dallas-Love Field,TX,284.51,369.07," 268,490 ",,,,,,,,,,,
38,SNA,John Wayne Airport-Orange County,Santa Ana,CA,361.71,469.22," 265,267 ",,,,,,,,,,,
39,MCI,Kansas City International,Kansas City,MO,363.32,471.31," 262,674 ",,,,,,,,,,,
40,MSY,Louis Armstrong New Orleans International,New Orleans,LA,374.24,485.47," 258,635 ",,,,,,,,,,,
41,CLE,Cleveland-Hopkins International,Cleveland,OH,437.44,567.45," 256,332 ",,,,,,,,,,,
42,IAD,Washington Dulles International,Washington-Dulles,DC,493.35,639.98," 253,348 ",,,,,,,,,,,
43,IND,Indianapolis International,Indianapolis,IN,388.46,503.92," 251,793 ",,,,,,,,,,,
44,SJU,Luis Munoz Marin International,San Juan,PR,297.81,386.32," 243,172 ",,,,,,,,,,,
45,SAT,San Antonio International,San Antonio,TX,382.29,495.91," 241,700 ",,,,,,,,,,,
46,PIT,Pittsburgh International,Pittsburgh,PA,369.12,478.82," 233,411 ",,,,,,,,,,,
47,CVG,Cincinnati/Northern Kentucky International,Cincinnati,OH,519.00,673.26," 228,128 ",,,,,,,,,,,
48,CMH,John Glenn Columbus International,Columbus,OH,381.68,495.12," 213,465 ",,,,,,,,,,,
49,HOU,William P Hobby,Houston-Hobby,TX,334.83,434.34," 207,837 ",,,,,,,,,,,
50,RSW,Southwest Florida International,Fort Myers,FL,317.91,412.40," 200,474 ",,,,,,,,,,,
51,BDL,Bradley International,Hartford,CT,403.04,522.83," 183,949 ",,,,,,,,,,,
52,ONT,Ontario International,Ontario,CA,332.10,430.80," 170,319 ",,,,,,,,,,,
53,JAX,Jacksonville International,Jacksonville,FL,370.22,480.26," 169,662 ",,,,,,,,,,,
54,MKE,General Mitchell International,Milwaukee,WI,358.24,464.71," 164,464 ",,,,,,,,,,,
55,BUR,Bob Hope,Burbank,CA,272.67,353.71," 160,987 ",,,,,,,,,,,
56,PBI,Palm Beach International,West Palm Beach/Palm Beach,FL,333.66,432.83," 157,443 ",,,,,,,,,,,
57,OMA,Eppley Airfield,Omaha,NE,390.23,506.21," 128,152 ",,,,,,,,,,,
58,MEM,Memphis International,Memphis,TN,478.00,620.06," 124,614 ",,,,,,,,,,,
59,RIC,Richmond International,Richmond,VA,412.49,535.08," 124,059 ",,,,,,,,,,,
60,BOI,Boise Air Terminal,Boise,ID,386.65,501.56," 123,162 ",,,,,,,,,,,
61,CHS,Charleston AFB/International,Charleston,SC,417.57,541.67," 122,207 ",,,,,,,,,,,
62,BUF,Buffalo Niagara International,Buffalo,NY,336.14,436.04," 121,735 ",,,,,,,,,,,
63,ORF,Norfolk International,Norfolk,VA,405.01,525.38," 117,993 ",,,,,,,,,,,
64,ABQ,Albuquerque International Sunport,Albuquerque,NM,344.82,447.31," 117,060 ",,,,,,,,,,,
65,OGG,Kahului Airport,Kahului,HI,246.21,319.38," 113,378 ",,,,,,,,,,,
66,ELP,El Paso International,El Paso,TX,368.97,478.63," 113,101 ",,,,,,,,,,,
67,GRR,Gerald R. Ford International,Grand Rapids,MI,451.83,586.12," 108,941 ",,,,,,,,,,,
68,OKC,Will Rogers World,Oklahoma City,OK,405.86,526.48," 107,989 ",,,,,,,,,,,
69,SDF,Louisville Muhammad Ali International,Louisville,KY,401.43,520.75," 106,632 ",,,,,,,,,,,
70,ANC,Ted Stevens Anchorage International,Anchorage,AK,606.56,786.83," 105,666 ",,,,,,,,,,,
71,GEG,Spokane International,Spokane,WA,386.47,501.33," 104,809 ",,,,,,,,,,,
72,RNO,Reno/Tahoe International,Reno,NV,337.65,438.00," 100,069 ",,,,,,,,,,,
73,PVD,Rhode Island Tf Green International,Providence,RI,338.06,438.54," 96,518 ",,,,,,,,,,,
74,TUS,Tucson International,Tucson,AZ,368.00,477.38," 90,011 ",,,,,,,,,,,
75,DSM,Des Moines International,Des Moines,IA,407.65,528.80," 86,426 ",,,,,,,,,,,
76,LGB,Long Beach Airport,Long Beach,CA,220.09,285.51," 85,454 ",,,,,,,,,,,
77,TUL,Tulsa International,Tulsa,OK,445.56,577.99," 80,986 ",,,,,,,,,,,
78,SYR,Syracuse Hancock International,Syracuse,NY,421.50,546.77," 79,344 ",,,,,,,,,,,
79,SRQ,Sarasota/Bradenton International,Sarasota/Bradenton,FL,375.36,486.92," 78,452 ",,,,,,,,,,,
80,ALB,Albany International,Albany,NY,430.19,558.05," 78,345 ",,,,,,,,,,,
81,BHM,Birmingham-Shuttlesworth International,Birmingham,AL,408.53,529.95," 75,675 ",,,,,,,,,,,
82,SAV,Savannah/Hilton Head International,Savannah,GA,493.18,639.76," 74,039 ",,,,,,,,,,,
83,ROC,Frederick Douglass Grtr Rochester International,Rochester,NY,361.57,469.04," 72,280 ",,,,,,,,,,,
84,KOA,Ellison Onizuka Kona International at Keahole,Kona,HI,256.45,332.67," 67,891 ",,,,,,,,,,,
85,TYS,McGhee Tyson,Knoxville,TN,477.02,618.80," 64,333 ",,,,,,,,,,,
86,MYR,Myrtle Beach International,Myrtle Beach,SC,310.35,402.59," 62,925 ",,,,,,,,,,,
