Average Domestic Airline Itinerary Fares By Origin City for Q1 2009 Ranked by Total Number of Domestic Passengers in 2022,,,,,,,,,,,,,,,,,,
2022 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Quarter:  Q1-2023),2022 Passengers (10% sample),,,,,,,,,,,
1,LAX,Los Angeles International,Los Angeles,CA,333.15,472.37," 1,204,082 ",,,,,,,,,,,
2,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,334.60,474.43," 998,248 ",,,,,,,,,,,
3,DEN,Denver International,Denver,CO,292.02,414.05," 990,155 ",,,,,,,,,,,
4,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,332.66,471.68," 951,353 ",,,,,,,,,,,
5,EWR,Newark Liberty International,Newark,NJ,379.93,538.70," 844,385 ",,,,,,,,,,,
6,BOS,Logan International,Boston,MA,341.91,484.79," 832,670 ",,,,,,,,,,,
7,SEA,Seattle/Tacoma International,Seattle,WA,309.33,438.60," 815,080 ",,,,,,,,,,,
8,MCO,Orlando International,Orlando,FL,241.24,342.05," 809,938 ",,,,,,,,,,,
9,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,380.33,539.27," 781,899 ",,,,,,,,,,,
10,PHX,Phoenix Sky Harbor International,Phoenix,AZ,286.40,406.08," 753,870 ",,,,,,,,,,,
11,SFO,San Francisco International,San Francisco,CA,332.34,471.22," 745,559 ",,,,,,,,,,,
12,JFK,John F. Kennedy International,New York-JFK,NY,325.86,462.04," 692,687 ",,,,,,,,,,,
13,LAS,Harry Reid International,Las Vegas,NV,234.83,332.96," 687,806 ",,,,,,,,,,,
14,LGA,LaGuardia,New York-La Guardia,NY,315.83,447.81," 672,207 ",,,,,,,,,,,
15,MSP,Minneapolis-St Paul International,Minneapolis,MN,377.29,534.95," 592,925 ",,,,,,,,,,,
16,PHL,Philadelphia International,Philadelphia,PA,301.63,427.68," 553,118 ",,,,,,,,,,,
17,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,390.04,553.03," 551,714 ",,,,,,,,,,,
18,SAN,San Diego International,San Diego,CA,285.69,405.08," 530,752 ",,,,,,,,,,,
19,DTW,Detroit Metro Wayne County,Detroit,MI,300.66,426.30," 526,777 ",,,,,,,,,,,
20,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,245.86,348.60," 524,862 ",,,,,,,,,,,
21,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,375.00,531.71," 488,036 ",,,,,,,,,,,
22,TPA,Tampa International,Tampa,FL,270.23,383.16," 480,514 ",,,,,,,,,,,
23,MIA,Miami International,Miami,FL,331.52,470.06," 478,823 ",,,,,,,,,,,
24,AUS,Austin - Bergstrom International,Austin,TX,304.76,432.12," 453,572 ",,,,,,,,,,,
25,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,263.59,373.75," 442,456 ",,,,,,,,,,,
26,PDX,Portland International,Portland,OR,320.07,453.83," 400,840 ",,,,,,,,,,,
27,SLC,Salt Lake City International,Salt Lake City,UT,302.43,428.82," 400,695 ",,,,,,,,,,,
28,BNA,Nashville International,Nashville,TN,290.49,411.88," 387,230 ",,,,,,,,,,,
29,CLT,Charlotte Douglas International,Charlotte,NC,347.45,492.64," 372,212 ",,,,,,,,,,,
30,SMF,Sacramento International,Sacramento,CA,277.98,394.15," 339,569 ",,,,,,,,,,,
31,RDU,Raleigh-Durham International,Raleigh/Durham,NC,271.04,384.31," 327,718 ",,,,,,,,,,,
32,MDW,Chicago Midway International,Chicago-Midway,IL,247.74,351.27," 320,449 ",,,,,,,,,,,
33,HNL,Daniel K Inouye International,Honolulu,HI,268.96,381.36," 312,069 ",,,,,,,,,,,
34,STL,St Louis Lambert International,St. Louis,MO,298.14,422.74," 290,937 ",,,,,,,,,,,
35,SJC,Norman Y. Mineta San Jose International,San Jose,CA,247.88,351.47," 284,602 ",,,,,,,,,,,
36,OAK,Metro Oakland International,Oakland,CA,227.40,322.43," 272,223 ",,,,,,,,,,,
37,DAL,Dallas Love Field,Dallas-Love Field,TX,231.16,327.76," 268,490 ",,,,,,,,,,,
38,SNA,John Wayne Airport-Orange County,Santa Ana,CA,290.81,412.33," 265,267 ",,,,,,,,,,,
39,MCI,Kansas City International,Kansas City,MO,289.14,409.97," 262,674 ",,,,,,,,,,,
40,MSY,Louis Armstrong New Orleans International,New Orleans,LA,280.46,397.66," 258,635 ",,,,,,,,,,,
41,CLE,Cleveland-Hopkins International,Cleveland,OH,335.33,475.46," 256,332 ",,,,,,,,,,,
42,IAD,Washington Dulles International,Washington-Dulles,DC,402.12,570.16," 253,348 ",,,,,,,,,,,
43,IND,Indianapolis International,Indianapolis,IN,278.27,394.56," 251,793 ",,,,,,,,,,,
44,SJU,Luis Munoz Marin International,San Juan,PR,292.35,414.52," 243,172 ",,,,,,,,,,,
45,SAT,San Antonio International,San Antonio,TX,298.71,423.53," 241,700 ",,,,,,,,,,,
46,PIT,Pittsburgh International,Pittsburgh,PA,271.17,384.49," 233,411 ",,,,,,,,,,,
47,CVG,Cincinnati/Northern Kentucky International,Cincinnati,OH,444.98,630.94," 228,128 ",,,,,,,,,,,
48,CMH,John Glenn Columbus International,Columbus,OH,285.14,404.29," 213,465 ",,,,,,,,,,,
49,HOU,William P Hobby,Houston-Hobby,TX,263.77,374.00," 207,837 ",,,,,,,,,,,
50,RSW,Southwest Florida International,Fort Myers,FL,252.14,357.50," 200,474 ",,,,,,,,,,,
51,BDL,Bradley International,Hartford,CT,330.97,469.28," 183,949 ",,,,,,,,,,,
52,ONT,Ontario International,Ontario,CA,270.25,383.19," 170,319 ",,,,,,,,,,,
53,JAX,Jacksonville International,Jacksonville,FL,279.33,396.06," 169,662 ",,,,,,,,,,,
54,MKE,General Mitchell International,Milwaukee,WI,301.37,427.32," 164,464 ",,,,,,,,,,,
55,BUR,Bob Hope,Burbank,CA,230.66,327.05," 160,987 ",,,,,,,,,,,
56,PBI,Palm Beach International,West Palm Beach/Palm Beach,FL,274.14,388.71," 157,443 ",,,,,,,,,,,
57,OMA,Eppley Airfield,Omaha,NE,305.21,432.75," 128,152 ",,,,,,,,,,,
58,MEM,Memphis International,Memphis,TN,398.43,564.93," 124,614 ",,,,,,,,,,,
59,RIC,Richmond International,Richmond,VA,303.79,430.74," 124,059 ",,,,,,,,,,,
