Average Domestic Airline Itinerary Fares By Origin City for Q1 2020 Ranked by Total Number of Domestic Passengers in 2022,,,,,,,,,,,,,,,,,,
2022 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Quarter:  Q1-2023),2022 Passengers (10% sample),,,,,,,,,,,
59,RIC,Richmond International,Richmond,VA,374.11,435.47," 124,059 ",,,,,,,,,,,
60,BOI,Boise Air Terminal,Boise,ID,331.89,386.32," 123,162 ",,,,,,,,,,,
61,CHS,Charleston AFB/International,Charleston,SC,353.88,411.93," 122,207 ",,,,,,,,,,,
62,BUF,Buffalo Niagara International,Buffalo,NY,319.05,371.39," 121,735 ",,,,,,,,,,,
63,ORF,Norfolk International,Norfolk,VA,383.14,445.98," 117,993 ",,,,,,,,,,,
64,ABQ,Albuquerque International Sunport,Albuquerque,NM,343.84,400.24," 117,060 ",,,,,,,,,,,
65,OGG,Kahului Airport,Kahului,HI,271.48,316.01," 113,378 ",,,,,,,,,,,
66,ELP,El Paso International,El Paso,TX,355.04,413.27," 113,101 ",,,,,,,,,,,
67,GRR,Gerald R. Ford International,Grand Rapids,MI,336.86,392.11," 108,941 ",,,,,,,,,,,
68,OKC,Will Rogers World,Oklahoma City,OK,373.83,435.15," 107,989 ",,,,,,,,,,,
69,SDF,Louisville Muhammad Ali International,Louisville,KY,369.67,430.31," 106,632 ",,,,,,,,,,,
70,ANC,Ted Stevens Anchorage International,Anchorage,AK,458.72,533.96," 105,666 ",,,,,,,,,,,
71,GEG,Spokane International,Spokane,WA,331.15,385.47," 104,809 ",,,,,,,,,,,
72,RNO,Reno/Tahoe International,Reno,NV,336.10,391.22," 100,069 ",,,,,,,,,,,
73,PVD,Rhode Island Tf Green International,Providence,RI,322.52,375.42," 96,518 ",,,,,,,,,,,
74,TUS,Tucson International,Tucson,AZ,349.23,406.51," 90,011 ",,,,,,,,,,,
75,DSM,Des Moines International,Des Moines,IA,366.55,426.67," 86,426 ",,,,,,,,,,,
76,LGB,Long Beach Airport,Long Beach,CA,213.87,248.95," 85,454 ",,,,,,,,,,,
77,TUL,Tulsa International,Tulsa,OK,391.95,456.24," 80,986 ",,,,,,,,,,,
78,SYR,Syracuse Hancock International,Syracuse,NY,347.47,404.46," 79,344 ",,,,,,,,,,,
79,SRQ,Sarasota/Bradenton International,Sarasota/Bradenton,FL,316.98,368.97," 78,452 ",,,,,,,,,,,
80,ALB,Albany International,Albany,NY,367.27,427.51," 78,345 ",,,,,,,,,,,
81,BHM,Birmingham-Shuttlesworth International,Birmingham,AL,424.36,493.97," 75,675 ",,,,,,,,,,,
82,SAV,Savannah/Hilton Head International,Savannah,GA,379.69,441.97," 74,039 ",,,,,,,,,,,
83,ROC,Frederick Douglass Grtr Rochester International,Rochester,NY,368.42,428.86," 72,280 ",,,,,,,,,,,
84,KOA,Ellison Onizuka Kona International at Keahole,Kona,HI,261.86,304.81," 67,891 ",,,,,,,,,,,
85,TYS,McGhee Tyson,Knoxville,TN,387.01,450.49," 64,333 ",,,,,,,,,,,
86,MYR,Myrtle Beach International,Myrtle Beach,SC,315.45,367.19," 62,925 ",,,,,,,,,,,
87,PNS,Pensacola International,Pensacola,FL,386.21,449.56," 60,511 ",,,,,,,,,,,
88,GSP,Greenville-Spartanburg International,Greer,SC,387.86,451.48," 59,223 ",,,,,,,,,,,
89,COS,City of Colorado Springs Municipal,Colorado Springs,CO,382.39,445.11," 58,992 ",,,,,,,,,,,
90,HPN,Westchester County,White Plains,NY,390.54,454.60," 58,461 ",,,,,,,,,,,
91,LIH,Lihue Airport,Lihue,HI,244.11,284.15," 58,367 ",,,,,,,,,,,
92,FAT,Fresno Yosemite International,Fresno,CA,373.67,434.96," 57,786 ",,,,,,,,,,,
93,LIT,Bill and Hillary Clinton Nat Adams Field,Little Rock,AR,397.42,462.61," 56,757 ",,,,,,,,,,,
94,MSN,Dane County Regional-Truax Field,Madison,WI,403.77,470.00," 55,194 ",,,,,,,,,,,
95,PWM,Portland International Jetport,Portland,ME,348.45,405.61," 54,716 ",,,,,,,,,,,
96,PSP,Palm Springs International,Palm Springs,CA,352.47,410.29," 52,936 ",,,,,,,,,,,
97,BZN,Bozeman Yellowstone International,Bozeman,MT,404.76,471.15," 50,546 ",,,,,,,,,,,
98,SFB,Orlando Sanford International,Sanford,FL,115.78,134.77," 47,740 ",,,,,,,,,,,
99,PIE,St Pete Clearwater International,St. Petersburg,FL,116.92,136.09," 47,279 ",,,,,,,,,,,
100,AVL,Asheville Regional,Asheville,NC,296.31,344.91," 46,964 ",,,,,,,,,,,
101,XNA,Northwest Arkansas National,Fayetteville,AR,447.23,520.59," 45,953 ",,,,,,,,,,,
102,EUG,Mahlon Sweet Field,Eugene,OR,340.84,396.75," 45,553 ",,,,,,,,,,,
103,ICT,Wichita Dwight D Eisenhower National,Wichita,KS,382.82,445.62," 45,334 ",,,,,,,,,,,
104,GSO,Piedmont Triad International,Greensboro/High Point,NC,396.71,461.78," 44,373 ",,,,,,,,,,,
105,AZA,Phoenix - Mesa Gateway,Phoenix,AZ,129.08,150.25," 40,373 ",,,,,,,,,,,
106,ISP,Long Island MacArthur,Islip,NY,261.72,304.65," 39,682 ",,,,,,,,,,,
107,CID,The Eastern Iowa,Cedar Rapids/Iowa City,IA,364.38,424.15," 39,310 ",,,,,,,,,,,
108,MHT,Manchester Boston Regional,Manchester,NH,372.19,433.24," 39,250 ",,,,,,,,,,,
109,MDT,Harrisburg International,Harrisburg,PA,393.61,458.17," 39,114 ",,,,,,,,,,,
110,FSD,Joe Foss Field,Sioux Falls,SD,381.18,443.71," 37,951 ",,,,,,,,,,,
111,JAN,Jackson Medgar Wiley Evers International,Jackson/Vicksburg,MS,503.40,585.97," 36,064 ",,,,,,,,,,,
112,MAF,Midland International Air and Space Port,Midland/Odessa,TX,457.79,532.88," 35,477 ",,,,,,,,,,,
113,PGD,Punta Gorda Airport,Punta Gorda,FL,129.62,150.88," 34,911 ",,,,,,,,,,,
114,BTV,Burlington International,Burlington,VT,413.95,481.84," 34,302 ",,,,,,,,,,,
115,VPS,Eglin AFB Destin Fort Walton Beach,Valparaiso,FL,415.51,483.67," 34,165 ",,,,,,,,,,,
116,LEX,Blue Grass,Lexington,KY,391.55,455.78," 33,204 ",,,,,,,,,,,
117,SBA,Santa Barbara Municipal,Santa Barbara,CA,405.74,472.30," 33,057 ",,,,,,,,,,,
118,HSV,Huntsville International-Carl T Jones Field,Huntsville,AL,502.54,584.97," 32,418 ",,,,,,,,,,,
119,DAY,James M Cox/Dayton International,Dayton,OH,430.12,500.67," 32,281 ",,,,,,,,,,,
120,ITO,Hilo International,Hilo,HI,178.11,207.32," 31,863 ",,,,,,,,,,,
121,MFE,McAllen International,Mission/McAllen/Edinburg,TX,393.72,458.30," 30,582 ",,,,,,,,,,,
122,SGF,Springfield-Branson National,Springfield,MO,412.19,479.80," 29,988 ",,,,,,,,,,,
123,ILM,Wilmington International,Wilmington,NC,413.15,480.91," 29,838 ",,,,,,,,,,,
124,ABE,Lehigh Valley International,Allentown/Bethlehem/Easton,PA,296.82,345.51," 29,672 ",,,,,,,,,,,
125,MFR,Rogue Valley International - Medford,Medford,OR,336.72,391.95," 29,385 ",,,,,,,,,,,
126,FAR,Hector International,Fargo,ND,403.40,469.57," 28,922 ",,,,,,,,,,,
127,HVN,Tweed New Haven,New Haven,CT,357.09,415.66," 28,589 ",,,,,,,,,,,
128,RDM,Roberts Field,Bend/Redmond,OR,337.12,392.42," 28,485 ",,,,,,,,,,,
129,ATW,Appleton International,Appleton,WI,399.27,464.76," 28,471 ",,,,,,,,,,,
130,CAE,Columbia Metropolitan,Columbia,SC,437.85,509.66," 28,304 ",,,,,,,,,,,
131,ACY,Atlantic City International,Atlantic City,NJ,112.63,131.10," 27,914 ",,,,,,,,,,,
132,ECP,Northwest Florida Beaches International,Panama City,FL,388.97,452.77," 27,650 ",,,,,,,,,,,
133,LBB,Lubbock Preston Smith International,Lubbock,TX,399.67,465.22," 26,643 ",,,,,,,,,,,
134,FAI,Fairbanks International,Fairbanks,AK,420.60,489.58," 25,849 ",,,,,,,,,,,
135,CHA,Lovell Field,Chattanooga,TN,429.30,499.72," 25,231 ",,,,,,,,,,,
136,HRL,Valley International,Harlingen/San Benito,TX,298.48,347.43," 25,134 ",,,,,,,,,,,
137,PSC,Tri Cities,Pasco/Kennewick/Richland,WA,395.42,460.28," 24,297 ",,,,,,,,,,,
138,FWA,Fort Wayne International,Fort Wayne,IN,360.66,419.82," 23,986 ",,,,,,,,,,,
139,SBN,South Bend International,South Bend,IN,348.80,406.01," 23,412 ",,,,,,,,,,,
140,TTN,Trenton Mercer,Trenton,NJ,122.36,142.43," 23,320 ",,,,,,,,,,,
141,STT,Cyril E King,Charlotte Amalie,VI,342.80,399.03," 22,552 ",,,,,,,,,,,
142,MSO,Missoula Montana,Missoula,MT,398.97,464.41," 22,036 ",,,,,,,,,,,
143,TLH,Tallahassee International,Tallahassee,FL,463.59,539.63," 21,803 ",,,,,,,,,,,
144,FNT,Bishop International,Flint,MI,282.06,328.32," 21,759 ",,,,,,,,,,,
145,BLI,Bellingham International,Bellingham,WA,241.37,280.97," 21,095 ",,,,,,,,,,,
146,BIL,Billings Logan International,Billings,MT,397.94,463.22," 21,002 ",,,,,,,,,,,
147,BQN,Rafael Hernandez,Aguadilla,PR,188.58,219.51," 20,914 ",,,,,,,,,,,
148,PIA,General Downing - Peoria International,Peoria,IL,338.39,393.89," 19,868 ",,,,,,,,,,,
149,AMA,Rick Husband Amarillo International,Amarillo,TX,408.59,475.61," 19,558 ",,,,,,,,,,,
150,BTR,Baton Rouge Metropolitan/Ryan Field,Baton Rouge,LA,468.71,545.59," 18,900 ",,,,,,,,,,,
151,BGR,Bangor International,Bangor,ME,362.69,422.18," 18,535 ",,,,,,,,,,,
152,FCA,Glacier Park International,Kalispell,MT,396.51,461.54," 18,363 ",,,,,,,,,,,
153,CAK,Akron-Canton Regional,Akron,OH,342.00,398.09," 18,054 ",,,,,,,,,,,
154,GRB,Green Bay Austin Straubel International,Green Bay,WI,471.77,549.16," 17,912 ",,,,,,,,,,,
155,MLI,Quad Cities International,Moline,IL,370.44,431.20," 17,389 ",,,,,,,,,,,
156,PAE,Snohomish County,Everett,WA,274.98,320.09," 17,309 ",,,,,,,,,,,
157,CRP,Corpus Christi International,Corpus Christi,TX,451.86,525.98," 17,271 ",,,,,,,,,,,
158,IDA,Idaho Falls Regional,Idaho Falls,ID,488.46,568.58," 17,158 ",,,,,,,,,,,
159,ROA,Roanoke Blacksburg Regional,Roanoke,VA,448.90,522.54," 16,923 ",,,,,,,,,,,
160,STS,Charles M. Schulz - Sonoma County,Santa Rosa,CA,312.62,363.89," 16,643 ",,,,,,,,,,,
161,EYW,Key West International,Key West,FL,389.70,453.62," 16,593 ",,,,,,,,,,,
162,RAP,Rapid City Regional,Rapid City,SD,409.44,476.60," 16,117 ",,,,,,,,,,,
163,AGS,Augusta Regional at Bush Field,Augusta,GA,430.90,501.58," 16,049 ",,,,,,,,,,,
164,GNV,Gainesville Regional,Gainesville,FL,406.68,473.38," 15,832 ",,,,,,,,,,,
165,SHV,Shreveport Regional,Shreveport,LA,474.74,552.61," 15,683 ",,,,,,,,,,,
166,CHO,Charlottesville Albemarle,Charlottesville,VA,420.49,489.46," 15,468 ",,,,,,,,,,,
167,BIS,Bismarck Municipal,Bismarck/Mandan,ND,383.77,446.71," 15,467 ",,,,,,,,,,,
168,SBP,San Luis County Regional,San Luis Obispo,CA,421.10,490.17," 15,158 ",,,,,,,,,,,
169,TVC,Cherry Capital,Traverse City,MI,382.55,445.30," 14,978 ",,,,,,,,,,,
170,DAB,Daytona Beach International,Daytona Beach,FL,397.45,462.65," 13,817 ",,,,,,,,,,,
171,MOB,Mobile Regional,Mobile,AL,461.15,536.79," 13,542 ",,,,,,,,,,,
172,JNU,Juneau International,Juneau,AK,416.98,485.38," 13,402 ",,,,,,,,,,,
173,LFT,Lafayette Regional Paul Fournet Field,Lafayette,LA,489.34,569.61," 13,097 ",,,,,,,,,,,
174,GPT,Gulfport-Biloxi International,Gulfport/Biloxi,MS,425.29,495.05," 12,893 ",,,,,,,,,,,
175,BLV,Scott AFB MidAmerica St Louis,Belleville,IL,152.14,177.09," 12,856 ",,,,,,,,,,,
176,AVP,Wilkes Barre Scranton International,Scranton/Wilkes-Barre,PA,399.82,465.41," 12,548 ",,,,,,,,,,,
177,JAC,Jackson Hole,Jackson,WY,550.56,640.87," 12,352 ",,,,,,,,,,,
178,GJT,Grand Junction Regional,Grand Junction,CO,387.96,451.60," 11,763 ",,,,,,,,,,,
179,BMI,Central Il Regional Airport at Bloomington,Bloomington/Normal,IL,354.51,412.66," 11,364 ",,,,,,,,,,,
180,PVU,Provo Municipal,Provo,UT,99.47,115.78," 11,296 ",,,,,,,,,,,
181,LCK,Rickenbacker International,Columbus,OH,129.55,150.80," 11,282 ",,,,,,,,,,,
