Average Domestic Airline Itinerary Fares By Origin City for Q1 2019 Ranked by Total Number of Domestic Passengers in 2022,,,,,,,,,,,,,,,,,,
2022 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Quarter:  Q1-2023),2022 Passengers (10% sample),,,,,,,,,,,
1,LAX,Los Angeles International,Los Angeles,CA,335.56,398.87," 1,204,082 ",,,,,,,,,,,
2,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,355.00,421.99," 998,248 ",,,,,,,,,,,
3,DEN,Denver International,Denver,CO,304.01,361.37," 990,155 ",,,,,,,,,,,
4,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,378.36,449.75," 951,353 ",,,,,,,,,,,
5,EWR,Newark Liberty International,Newark,NJ,404.37,480.67," 844,385 ",,,,,,,,,,,
6,BOS,Logan International,Boston,MA,329.75,391.97," 832,670 ",,,,,,,,,,,
7,SEA,Seattle/Tacoma International,Seattle,WA,326.82,388.49," 815,080 ",,,,,,,,,,,
8,MCO,Orlando International,Orlando,FL,253.91,301.82," 809,938 ",,,,,,,,,,,
9,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,405.94,482.53," 781,899 ",,,,,,,,,,,
10,PHX,Phoenix Sky Harbor International,Phoenix,AZ,339.24,403.25," 753,870 ",,,,,,,,,,,
11,SFO,San Francisco International,San Francisco,CA,379.63,451.27," 745,559 ",,,,,,,,,,,
12,JFK,John F. Kennedy International,New York-JFK,NY,384.65,457.23," 692,687 ",,,,,,,,,,,
13,LAS,Harry Reid International,Las Vegas,NV,245.95,292.36," 687,806 ",,,,,,,,,,,
14,LGA,LaGuardia,New York-La Guardia,NY,327.80,389.65," 672,207 ",,,,,,,,,,,
15,MSP,Minneapolis-St Paul International,Minneapolis,MN,394.36,468.77," 592,925 ",,,,,,,,,,,
16,PHL,Philadelphia International,Philadelphia,PA,380.51,452.31," 553,118 ",,,,,,,,,,,
17,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,421.28,500.78," 551,714 ",,,,,,,,,,,
18,SAN,San Diego International,San Diego,CA,314.04,373.29," 530,752 ",,,,,,,,,,,
19,DTW,Detroit Metro Wayne County,Detroit,MI,391.86,465.80," 526,777 ",,,,,,,,,,,
20,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,264.87,314.85," 524,862 ",,,,,,,,,,,
21,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,363.55,432.15," 488,036 ",,,,,,,,,,,
22,TPA,Tampa International,Tampa,FL,303.94,361.28," 480,514 ",,,,,,,,,,,
23,MIA,Miami International,Miami,FL,338.69,402.60," 478,823 ",,,,,,,,,,,
24,AUS,Austin - Bergstrom International,Austin,TX,344.56,409.58," 453,572 ",,,,,,,,,,,
25,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,319.84,380.19," 442,456 ",,,,,,,,,,,
26,PDX,Portland International,Portland,OR,330.54,392.90," 400,840 ",,,,,,,,,,,
27,SLC,Salt Lake City International,Salt Lake City,UT,387.94,461.14," 400,695 ",,,,,,,,,,,
28,BNA,Nashville International,Nashville,TN,334.07,397.10," 387,230 ",,,,,,,,,,,
29,CLT,Charlotte Douglas International,Charlotte,NC,431.63,513.07," 372,212 ",,,,,,,,,,,
30,SMF,Sacramento International,Sacramento,CA,316.61,376.35," 339,569 ",,,,,,,,,,,
31,RDU,Raleigh-Durham International,Raleigh/Durham,NC,338.31,402.15," 327,718 ",,,,,,,,,,,
32,MDW,Chicago Midway International,Chicago-Midway,IL,312.84,371.87," 320,449 ",,,,,,,,,,,
33,HNL,Daniel K Inouye International,Honolulu,HI,349.10,414.97," 312,069 ",,,,,,,,,,,
34,STL,St Louis Lambert International,St. Louis,MO,363.89,432.56," 290,937 ",,,,,,,,,,,
35,SJC,Norman Y. Mineta San Jose International,San Jose,CA,279.04,331.69," 284,602 ",,,,,,,,,,,
