Average Domestic Airline Itinerary Fares By Origin City for Q1 2014 Ranked by Total Number of Domestic Passengers in 2022,,,,,,,,,,,,,,,,,,
2022 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Quarter:  Q1-2023),2022 Passengers (10% sample),,,,,,,,,,,
1,LAX,Los Angeles International,Los Angeles,CA,396.06,506.65," 1,204,082 ",,,,,,,,,,,
2,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,413.32,528.73," 998,248 ",,,,,,,,,,,
3,DEN,Denver International,Denver,CO,334.47,427.87," 990,155 ",,,,,,,,,,,
4,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,404.58,517.56," 951,353 ",,,,,,,,,,,
5,EWR,Newark Liberty International,Newark,NJ,482.12,616.75," 844,385 ",,,,,,,,,,,
6,BOS,Logan International,Boston,MA,373.98,478.41," 832,670 ",,,,,,,,,,,
7,SEA,Seattle/Tacoma International,Seattle,WA,368.64,471.58," 815,080 ",,,,,,,,,,,
8,MCO,Orlando International,Orlando,FL,317.82,406.56," 809,938 ",,,,,,,,,,,
9,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,427.86,547.34," 781,899 ",,,,,,,,,,,
10,PHX,Phoenix Sky Harbor International,Phoenix,AZ,349.72,447.37," 753,870 ",,,,,,,,,,,
11,SFO,San Francisco International,San Francisco,CA,406.03,519.41," 745,559 ",,,,,,,,,,,
12,JFK,John F. Kennedy International,New York-JFK,NY,430.55,550.77," 692,687 ",,,,,,,,,,,
13,LAS,Harry Reid International,Las Vegas,NV,263.10,336.56," 687,806 ",,,,,,,,,,,
14,LGA,LaGuardia,New York-La Guardia,NY,383.06,490.03," 672,207 ",,,,,,,,,,,
15,MSP,Minneapolis-St Paul International,Minneapolis,MN,425.44,544.24," 592,925 ",,,,,,,,,,,
16,PHL,Philadelphia International,Philadelphia,PA,414.00,529.60," 553,118 ",,,,,,,,,,,
17,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,494.10,632.06," 551,714 ",,,,,,,,,,,
18,SAN,San Diego International,San Diego,CA,355.45,454.70," 530,752 ",,,,,,,,,,,
19,DTW,Detroit Metro Wayne County,Detroit,MI,416.21,532.42," 526,777 ",,,,,,,,,,,
20,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,296.34,379.09," 524,862 ",,,,,,,,,,,
21,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,383.93,491.13," 488,036 ",,,,,,,,,,,
22,TPA,Tampa International,Tampa,FL,335.60,429.31," 480,514 ",,,,,,,,,,,
23,MIA,Miami International,Miami,FL,413.24,528.63," 478,823 ",,,,,,,,,,,
24,AUS,Austin - Bergstrom International,Austin,TX,386.35,494.23," 453,572 ",,,,,,,,,,,
25,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,329.70,421.76," 442,456 ",,,,,,,,,,,
26,PDX,Portland International,Portland,OR,347.93,445.09," 400,840 ",,,,,,,,,,,
27,SLC,Salt Lake City International,Salt Lake City,UT,429.40,549.30," 400,695 ",,,,,,,,,,,
28,BNA,Nashville International,Nashville,TN,376.75,481.95," 387,230 ",,,,,,,,,,,
29,CLT,Charlotte Douglas International,Charlotte,NC,433.37,554.38," 372,212 ",,,,,,,,,,,
30,SMF,Sacramento International,Sacramento,CA,358.95,459.18," 339,569 ",,,,,,,,,,,
31,RDU,Raleigh-Durham International,Raleigh/Durham,NC,372.50,476.51," 327,718 ",,,,,,,,,,,
32,MDW,Chicago Midway International,Chicago-Midway,IL,330.82,423.20," 320,449 ",,,,,,,,,,,
33,HNL,Daniel K Inouye International,Honolulu,HI,343.10,438.91," 312,069 ",,,,,,,,,,,
34,STL,St Louis Lambert International,St. Louis,MO,376.17,481.21," 290,937 ",,,,,,,,,,,
35,SJC,Norman Y. Mineta San Jose International,San Jose,CA,314.80,402.70," 284,602 ",,,,,,,,,,,
36,OAK,Metro Oakland International,Oakland,CA,293.96,376.04," 272,223 ",,,,,,,,,,,
37,DAL,Dallas Love Field,Dallas-Love Field,TX,292.04,373.59," 268,490 ",,,,,,,,,,,
38,SNA,John Wayne Airport-Orange County,Santa Ana,CA,363.72,465.28," 265,267 ",,,,,,,,,,,
39,MCI,Kansas City International,Kansas City,MO,382.31,489.06," 262,674 ",,,,,,,,,,,
40,MSY,Louis Armstrong New Orleans International,New Orleans,LA,358.45,458.54," 258,635 ",,,,,,,,,,,
41,CLE,Cleveland-Hopkins International,Cleveland,OH,458.14,586.06," 256,332 ",,,,,,,,,,,
42,IAD,Washington Dulles International,Washington-Dulles,DC,499.05,638.40," 253,348 ",,,,,,,,,,,
43,IND,Indianapolis International,Indianapolis,IN,396.66,507.42," 251,793 ",,,,,,,,,,,
44,SJU,Luis Munoz Marin International,San Juan,PR,315.55,403.66," 243,172 ",,,,,,,,,,,
45,SAT,San Antonio International,San Antonio,TX,389.07,497.71," 241,700 ",,,,,,,,,,,
46,PIT,Pittsburgh International,Pittsburgh,PA,392.86,502.56," 233,411 ",,,,,,,,,,,
47,CVG,Cincinnati/Northern Kentucky International,Cincinnati,OH,514.41,658.05," 228,128 ",,,,,,,,,,,
48,CMH,John Glenn Columbus International,Columbus,OH,405.78,519.09," 213,465 ",,,,,,,,,,,
49,HOU,William P Hobby,Houston-Hobby,TX,348.98,446.43," 207,837 ",,,,,,,,,,,
50,RSW,Southwest Florida International,Fort Myers,FL,319.09,408.19," 200,474 ",,,,,,,,,,,
51,BDL,Bradley International,Hartford,CT,376.61,481.78," 183,949 ",,,,,,,,,,,
52,ONT,Ontario International,Ontario,CA,328.92,420.76," 170,319 ",,,,,,,,,,,
53,JAX,Jacksonville International,Jacksonville,FL,382.71,489.58," 169,662 ",,,,,,,,,,,
54,MKE,General Mitchell International,Milwaukee,WI,356.73,456.34," 164,464 ",,,,,,,,,,,
55,BUR,Bob Hope,Burbank,CA,275.43,352.33," 160,987 ",,,,,,,,,,,
56,PBI,Palm Beach International,West Palm Beach/Palm Beach,FL,349.51,447.10," 157,443 ",,,,,,,,,,,
57,OMA,Eppley Airfield,Omaha,NE,392.38,501.95," 128,152 ",,,,,,,,,,,
58,MEM,Memphis International,Memphis,TN,448.79,574.10," 124,614 ",,,,,,,,,,,
59,RIC,Richmond International,Richmond,VA,406.09,519.49," 124,059 ",,,,,,,,,,,
