Average Domestic Airline Itinerary Fares By Origin City for Q1 2015 Ranked by Total Number of Domestic Passengers in 2022,,,,,,,,,,,,,,,,,,
2022 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Quarter:  Q1-2023),2022 Passengers (10% sample),,,,,,,,,,,
1,LAX,Los Angeles International,Los Angeles,CA,408.45,522.83," 1,204,082 ",,,,,,,,,,,
2,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,389.19,498.18," 998,248 ",,,,,,,,,,,
3,DEN,Denver International,Denver,CO,337.20,431.63," 990,155 ",,,,,,,,,,,
4,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,425.27,544.36," 951,353 ",,,,,,,,,,,
5,EWR,Newark Liberty International,Newark,NJ,473.22,605.74," 844,385 ",,,,,,,,,,,
6,BOS,Logan International,Boston,MA,390.61,499.99," 832,670 ",,,,,,,,,,,
7,SEA,Seattle/Tacoma International,Seattle,WA,365.94,468.42," 815,080 ",,,,,,,,,,,
8,MCO,Orlando International,Orlando,FL,311.19,398.33," 809,938 ",,,,,,,,,,,
9,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,423.57,542.18," 781,899 ",,,,,,,,,,,
10,PHX,Phoenix Sky Harbor International,Phoenix,AZ,357.80,457.99," 753,870 ",,,,,,,,,,,
11,SFO,San Francisco International,San Francisco,CA,423.24,541.76," 745,559 ",,,,,,,,,,,
12,JFK,John F. Kennedy International,New York-JFK,NY,439.30,562.32," 692,687 ",,,,,,,,,,,
13,LAS,Harry Reid International,Las Vegas,NV,260.36,333.27," 687,806 ",,,,,,,,,,,
14,LGA,LaGuardia,New York-La Guardia,NY,387.34,495.81," 672,207 ",,,,,,,,,,,
15,MSP,Minneapolis-St Paul International,Minneapolis,MN,445.61,570.39," 592,925 ",,,,,,,,,,,
16,PHL,Philadelphia International,Philadelphia,PA,427.91,547.74," 553,118 ",,,,,,,,,,,
17,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,465.47,595.81," 551,714 ",,,,,,,,,,,
18,SAN,San Diego International,San Diego,CA,366.28,468.85," 530,752 ",,,,,,,,,,,
19,DTW,Detroit Metro Wayne County,Detroit,MI,424.53,543.42," 526,777 ",,,,,,,,,,,
20,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,291.87,373.61," 524,862 ",,,,,,,,,,,
21,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,370.98,474.87," 488,036 ",,,,,,,,,,,
22,TPA,Tampa International,Tampa,FL,330.87,423.52," 480,514 ",,,,,,,,,,,
23,MIA,Miami International,Miami,FL,424.39,543.23," 478,823 ",,,,,,,,,,,
24,AUS,Austin - Bergstrom International,Austin,TX,392.61,502.56," 453,572 ",,,,,,,,,,,
25,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,334.57,428.26," 442,456 ",,,,,,,,,,,
26,PDX,Portland International,Portland,OR,367.70,470.66," 400,840 ",,,,,,,,,,,
27,SLC,Salt Lake City International,Salt Lake City,UT,399.91,511.90," 400,695 ",,,,,,,,,,,
28,BNA,Nashville International,Nashville,TN,388.15,496.85," 387,230 ",,,,,,,,,,,
29,CLT,Charlotte Douglas International,Charlotte,NC,463.77,593.64," 372,212 ",,,,,,,,,,,
30,SMF,Sacramento International,Sacramento,CA,368.98,472.31," 339,569 ",,,,,,,,,,,
31,RDU,Raleigh-Durham International,Raleigh/Durham,NC,394.70,505.23," 327,718 ",,,,,,,,,,,
32,MDW,Chicago Midway International,Chicago-Midway,IL,318.57,407.78," 320,449 ",,,,,,,,,,,
33,HNL,Daniel K Inouye International,Honolulu,HI,356.71,456.60," 312,069 ",,,,,,,,,,,
34,STL,St Louis Lambert International,St. Louis,MO,382.93,490.17," 290,937 ",,,,,,,,,,,
35,SJC,Norman Y. Mineta San Jose International,San Jose,CA,325.02,416.04," 284,602 ",,,,,,,,,,,
36,OAK,Metro Oakland International,Oakland,CA,292.96,375.00," 272,223 ",,,,,,,,,,,
37,DAL,Dallas Love Field,Dallas-Love Field,TX,279.78,358.13," 268,490 ",,,,,,,,,,,
38,SNA,John Wayne Airport-Orange County,Santa Ana,CA,377.02,482.60," 265,267 ",,,,,,,,,,,
39,MCI,Kansas City International,Kansas City,MO,383.20,490.51," 262,674 ",,,,,,,,,,,
40,MSY,Louis Armstrong New Orleans International,New Orleans,LA,343.30,439.43," 258,635 ",,,,,,,,,,,
41,CLE,Cleveland-Hopkins International,Cleveland,OH,384.66,492.38," 256,332 ",,,,,,,,,,,
42,IAD,Washington Dulles International,Washington-Dulles,DC,458.61,587.04," 253,348 ",,,,,,,,,,,
43,IND,Indianapolis International,Indianapolis,IN,401.21,513.56," 251,793 ",,,,,,,,,,,
44,SJU,Luis Munoz Marin International,San Juan,PR,347.54,444.86," 243,172 ",,,,,,,,,,,
45,SAT,San Antonio International,San Antonio,TX,404.35,517.59," 241,700 ",,,,,,,,,,,
46,PIT,Pittsburgh International,Pittsburgh,PA,395.64,506.43," 233,411 ",,,,,,,,,,,
47,CVG,Cincinnati/Northern Kentucky International,Cincinnati,OH,468.03,599.10," 228,128 ",,,,,,,,,,,
48,CMH,John Glenn Columbus International,Columbus,OH,414.37,530.41," 213,465 ",,,,,,,,,,,
49,HOU,William P Hobby,Houston-Hobby,TX,339.16,434.13," 207,837 ",,,,,,,,,,,
50,RSW,Southwest Florida International,Fort Myers,FL,320.38,410.10," 200,474 ",,,,,,,,,,,
51,BDL,Bradley International,Hartford,CT,389.07,498.02," 183,949 ",,,,,,,,,,,
52,ONT,Ontario International,Ontario,CA,347.89,445.32," 170,319 ",,,,,,,,,,,
53,JAX,Jacksonville International,Jacksonville,FL,387.44,495.94," 169,662 ",,,,,,,,,,,
54,MKE,General Mitchell International,Milwaukee,WI,370.25,473.93," 164,464 ",,,,,,,,,,,
55,BUR,Bob Hope,Burbank,CA,283.17,362.46," 160,987 ",,,,,,,,,,,
56,PBI,Palm Beach International,West Palm Beach/Palm Beach,FL,349.53,447.41," 157,443 ",,,,,,,,,,,
57,OMA,Eppley Airfield,Omaha,NE,409.31,523.93," 128,152 ",,,,,,,,,,,
58,MEM,Memphis International,Memphis,TN,443.04,567.10," 124,614 ",,,,,,,,,,,
59,RIC,Richmond International,Richmond,VA,417.70,534.67," 124,059 ",,,,,,,,,,,
60,BOI,Boise Air Terminal,Boise,ID,383.03,490.29," 123,162 ",,,,,,,,,,,
61,CHS,Charleston AFB/International,Charleston,SC,397.42,508.71," 122,207 ",,,,,,,,,,,
62,BUF,Buffalo Niagara International,Buffalo,NY,347.65,445.00," 121,735 ",,,,,,,,,,,
63,ORF,Norfolk International,Norfolk,VA,446.65,571.73," 117,993 ",,,,,,,,,,,
64,ABQ,Albuquerque International Sunport,Albuquerque,NM,381.20,487.95," 117,060 ",,,,,,,,,,,
65,OGG,Kahului Airport,Kahului,HI,311.59,398.85," 113,378 ",,,,,,,,,,,
66,ELP,El Paso International,El Paso,TX,402.82,515.62," 113,101 ",,,,,,,,,,,
67,GRR,Gerald R. Ford International,Grand Rapids,MI,421.01,538.91," 108,941 ",,,,,,,,,,,
68,OKC,Will Rogers World,Oklahoma City,OK,425.50,544.65," 107,989 ",,,,,,,,,,,
69,SDF,Louisville Muhammad Ali International,Louisville,KY,421.74,539.85," 106,632 ",,,,,,,,,,,
70,ANC,Ted Stevens Anchorage International,Anchorage,AK,541.30,692.88," 105,666 ",,,,,,,,,,,
