Average Domestic Airline Itinerary Fares By Origin City for Q1 2011 Ranked by Total Number of Domestic Passengers in 2022,,,,,,,,,,,,,,,,,,
2022 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Quarter:  Q1-2023),2022 Passengers (10% sample),,,,,,,,,,,
1,LAX,Los Angeles International,Los Angeles,CA,378.55,513.37," 1,204,082 ",,,,,,,,,,,
2,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,388.95,527.48," 998,248 ",,,,,,,,,,,
3,DEN,Denver International,Denver,CO,315.92,428.45," 990,155 ",,,,,,,,,,,
4,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,360.27,488.59," 951,353 ",,,,,,,,,,,
5,EWR,Newark Liberty International,Newark,NJ,469.82,637.16," 844,385 ",,,,,,,,,,,
6,BOS,Logan International,Boston,MA,347.38,471.11," 832,670 ",,,,,,,,,,,
7,SEA,Seattle/Tacoma International,Seattle,WA,345.20,468.14," 815,080 ",,,,,,,,,,,
8,MCO,Orlando International,Orlando,FL,267.39,362.63," 809,938 ",,,,,,,,,,,
9,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,431.15,584.71," 781,899 ",,,,,,,,,,,
10,PHX,Phoenix Sky Harbor International,Phoenix,AZ,321.10,435.47," 753,870 ",,,,,,,,,,,
11,SFO,San Francisco International,San Francisco,CA,386.31,523.90," 745,559 ",,,,,,,,,,,
12,JFK,John F. Kennedy International,New York-JFK,NY,383.18,519.65," 692,687 ",,,,,,,,,,,
13,LAS,Harry Reid International,Las Vegas,NV,274.12,371.75," 687,806 ",,,,,,,,,,,
14,LGA,LaGuardia,New York-La Guardia,NY,348.99,473.28," 672,207 ",,,,,,,,,,,
15,MSP,Minneapolis-St Paul International,Minneapolis,MN,413.21,560.38," 592,925 ",,,,,,,,,,,
16,PHL,Philadelphia International,Philadelphia,PA,366.03,496.40," 553,118 ",,,,,,,,,,,
17,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,476.60,646.35," 551,714 ",,,,,,,,,,,
18,SAN,San Diego International,San Diego,CA,333.59,452.40," 530,752 ",,,,,,,,,,,
19,DTW,Detroit Metro Wayne County,Detroit,MI,363.51,492.98," 526,777 ",,,,,,,,,,,
20,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,269.49,365.47," 524,862 ",,,,,,,,,,,
21,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,378.22,512.93," 488,036 ",,,,,,,,,,,
22,TPA,Tampa International,Tampa,FL,306.13,415.16," 480,514 ",,,,,,,,,,,
23,MIA,Miami International,Miami,FL,372.79,505.56," 478,823 ",,,,,,,,,,,
24,AUS,Austin - Bergstrom International,Austin,TX,359.22,487.15," 453,572 ",,,,,,,,,,,
25,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,304.15,412.47," 442,456 ",,,,,,,,,,,
26,PDX,Portland International,Portland,OR,353.33,479.18," 400,840 ",,,,,,,,,,,
27,SLC,Salt Lake City International,Salt Lake City,UT,374.69,508.14," 400,695 ",,,,,,,,,,,
28,BNA,Nashville International,Nashville,TN,350.70,475.60," 387,230 ",,,,,,,,,,,
29,CLT,Charlotte Douglas International,Charlotte,NC,392.01,531.62," 372,212 ",,,,,,,,,,,
30,SMF,Sacramento International,Sacramento,CA,317.09,430.03," 339,569 ",,,,,,,,,,,
31,RDU,Raleigh-Durham International,Raleigh/Durham,NC,325.29,441.14," 327,718 ",,,,,,,,,,,
32,MDW,Chicago Midway International,Chicago-Midway,IL,298.07,404.23," 320,449 ",,,,,,,,,,,
33,HNL,Daniel K Inouye International,Honolulu,HI,326.56,442.86," 312,069 ",,,,,,,,,,,
34,STL,St Louis Lambert International,St. Louis,MO,331.76,449.92," 290,937 ",,,,,,,,,,,
35,SJC,Norman Y. Mineta San Jose International,San Jose,CA,299.64,406.37," 284,602 ",,,,,,,,,,,
36,OAK,Metro Oakland International,Oakland,CA,275.57,373.71," 272,223 ",,,,,,,,,,,
37,DAL,Dallas Love Field,Dallas-Love Field,TX,273.19,370.50," 268,490 ",,,,,,,,,,,
38,SNA,John Wayne Airport-Orange County,Santa Ana,CA,336.92,456.92," 265,267 ",,,,,,,,,,,
39,MCI,Kansas City International,Kansas City,MO,330.80,448.62," 262,674 ",,,,,,,,,,,
